medname,text,code,name
,,,
00.0,"治疗性超声
排除：诊断性超声（非侵入性）（88.71-88.79）心内超声心动图 [ICE] （心腔）（37.28）血管内显像（辅助的）（00.21-00.29）
",00,操作和介入NEC
00.01,"头和颈部血管治疗性超声抗再狭窄超声血管内非消融性超声
排除：诊断性超声：　眼（95.13）　头和颈（88.71）　内耳（20.79）超声的：　非冠状血管成形术（39.50）　栓子切除术（38.01，38.02）　动脉内膜切除术（38.11，38.12）　血栓切除术（38.01，38.02）
",00,操作和介入NEC
00.02,"心脏治疗性超声抗再狭窄超声血管内非消融性超声
排除：心脏诊断性超声（88.72）心脏病损超声切除（37.34）冠状血管超声血管成形术（00.66，36.09）
",00,操作和介入NEC
00.03,"周围血管治疗性超声抗再狭窄超声血管内非消融性超声
排除：周围血管诊断性超声（88.77）超声血管成形术：非冠状血管（39.50）
",00,操作和介入NEC
00.09,"其他治疗性超声
排除：超声的：　泌尿系结石碎裂术（59.95）　经皮肾造口术伴碎石术（55.04）　物理治疗（93.35）　经尿道激光诱导前列腺切除术（TU-LIP）（60.21）
",00,操作和介入NEC
00.1,"药物制剂
",00,操作和介入NEC
00.10,"化学治疗物质植入大脑薄片 [聚苯丙生和卡莫司汀植人物] 化学治疗间质的或腔内的
排除：癌瘤化学治疗物质注射或输注（99.25）
",00,操作和介入NEC
00.11,"重组人类活化C蛋白输注重组蛋白输注
",00,操作和介入NEC
00.12,"吸人一氧化氮管理一氧化氮疗法
",00,操作和介入NEC
00.13,"奈西立肽注射或输注人类B型钠尿肽（hBNP）
",00,操作和介入NEC
00.14,"恶唑烷酮类抗生素注射或输注恶唑烷酮类抗生素（Linezolid）注射
",00,操作和介入NEC
,,,
,,,
00.15,"大剂量白细胞介素-2 [IL-2] 输注白细胞介素输注（IV bolus，CIV）阿地白细胞介素注射
排除：小剂量输注白细胞介素-2（99.28）
",00,操作和介入NEC
00.16,"药物的静脉旁路移植 [引导] 加压疗法经活体外血管治疗高压移植 [引导] 
",00,操作和介入NEC
00.17,"血管加压剂灌注
",00,操作和介入NEC
00.18,"抑制免疫力抗体输注治疗，实体器官移植诱导期单克隆抗体治疗多克隆抗体治疗
",00,操作和介入NEC
22.0,"鼻窦抽吸和灌洗
",22,鼻窦手术
22.00,"鼻窦抽吸和灌洗NOS
",22,鼻窦手术
22.01,"鼻窦穿刺，为抽吸或灌洗
",22,鼻窦手术
22.02,"经自然孔的鼻窦抽吸或灌洗
",22,鼻窦手术
22.1,"鼻窦诊断性操作
",22,鼻窦手术
22.11,"鼻窦闭合性 [内镜的]  [针吸] 活组织检查
",22,鼻窦手术
22.12,"鼻窦开放性活组织检查
",22,鼻窦手术
21.0,"控制鼻出血
",21,鼻手术
21.00,"控制鼻出血NOS
",21,鼻手术
21.01,"控制鼻出血，用前鼻孔填塞
",21,鼻手术
21.02,"控制鼻出血，用后鼻孔（和前鼻孔）填塞
",21,鼻手术
21.03,"控制鼻出血，用烧灼术（和填塞术）
",21,鼻手术
21.04,"控制鼻出血，用筛动脉结扎术
",21,鼻手术
21.05,"控制鼻出血，用（经上颌窦）颌动脉结扎术
",21,鼻手术
21.06,"控制鼻出血，用颈外动脉结扎术
",21,鼻手术
21.07,"控制鼻出血，用切除鼻黏膜并在鼻中隔和鼻侧壁植皮
",21,鼻手术
21.09,"控制鼻出血，用其他方法
",21,鼻手术
22.19,"鼻窦其他诊断性操作内镜检查不伴活组织检查
排除：鼻窦透照法（89.35）鼻窦X线检查（87.15-87.16）
",22,鼻窦手术
22.2,"鼻内上颌窦切开术
排除：外人路上颌窦切开术（22.31-22.39）
",22,鼻窦手术
22.3,"经鼻外上颌窦切开术
",22,鼻窦手术
22.31,"根治性上颌窦切开术经考德威尔-卢克人路去除上颁窦黏膜
",22,鼻窦手术
22.39,"其他经鼻外上颌窦切开术经考德威尔-卢克人路的上颌窦探查术
",22,鼻窦手术
22.4,"额窦切开术和切除术
",22,鼻窦手术
22.41,"额窦切开术
",22,鼻窦手术
22.42,"额窦切除术额窦病损切除术额窦封闭术（用脂肪）
排除：鼻窦活组织检查（22.11-22.12）
",22,鼻窦手术
22.5,"其他鼻窦切开术
",22,鼻窦手术
22.50,"鼻窦切开术NOS
",22,鼻窦手术
22.51,"筛窦切开术
",22,鼻窦手术
22.52,"蝶窦切开术
",22,鼻窦手术
22.53,"多个鼻窦切开术
",22,鼻窦手术
22.6,"其他鼻窦切除术
包括：同时伴附带鼻甲切除术
排除：鼻窦活组织检查（22.11-22.12）
",22,鼻窦手术
22.60,"鼻窦切除术NOS
",22,鼻窦手术
22.61,"经考德威尔-卢克人路上颌窦病损切除术
",22,鼻窦手术
22.62,"经其他人路上颌窦病损切除术
",22,鼻窦手术
22.63,"筛窦切除术
",22,鼻窦手术
22.64,"蝶窦切除术
",22,鼻窦手术
22.7,"鼻窦修补术
",22,鼻窦手术
22.71,"鼻窦瘘闭合术口腔-鼻窦瘘修补术
",22,鼻窦手术
