编号,药名,有效浓度,半衰期（hrs）,剂量调整,说明
1,阿米卡星,峰值：10-30μg/ml，低谷值＜10μg/ml,2-3；↑尿毒症（hrs）,↓肾功能不良,卡那霉素或妥布霉素联合治疗时，O采用免疫测定法可能会误报阿米卡星浓度增加。0
2,阿米替林,95-250ng/ml,9-46（hrs）,,该药与蛋白高度亲和，O病人特异性的蛋白结合降低可能使药物有效浓度发生偏差。0
3,卡马西平,4-12mg/ml,15（hrs）,,"诱导自身代谢。0用免疫法测定其代谢产物10,111-环氧化物时，O13%出现交叉反应。0"
4,环孢素,150-400ng／ml 全血,2008-6-12（hrs）,需知所采用的样本和方法,环孢素为脂溶性（20%与白细胞结合；40％与红细胞结合；40％在血浆中，O与脂蛋白高度结合)，O结合力系温度依赖，O所以应采用全血标本而非血浆或血清。0可靠的检测方法包括高效液相色谱仪或单克隆抗体免疫偏振荧光法。0由于多克隆抗体免疫偏振荧光法会出现代谢产物的交叉反应，O因此其所得出的治疗范围较高。0抗癫痫药物和利福平增强其代谢，O而红霉素、i酮康唑，O以及钙通道阻滞剂降低其代谢。0
5,地昔帕明,100-250ng／ml,13-23（hrs）,,该药与蛋白高度亲和，O病人特异性的蛋白结合下降可能使药物有效浓度产生偏差。0
6,地高辛,0.8-2.0 ng／ml,42；↑尿毒症、CHF及甲减；↓甲亢（hrs）,↓肾功能不全、CHF及甲减；↑甲亢,地高辛片剂的生物利用度为50％～90％，O不允许在给药后6小时内抽取样本。0透析不能明显降低药物水平。0低钾可能导致中毒。0地高辛中毒是一个临床诊断而非实验室诊断。0用羊地高辛抗体Fab片段(地高辛特异性抗体)治疗地高辛过量会干扰地高辛水平的测定。0奎尼丁、i维拉帕米和胺碘酮可降低地高辛的清除。0
7,乙琥胺,40- 100 mg/L,儿童：30；成人：50（hrs）,,药物水平主要被用来测定病人的依从性。0罕见中毒，O且与血浆浓度无明显关系。0
8,庆大霉素,峰值：4-8μg/ml 低谷值＜2μg/ml,2-5；↑尿毒症（透析时7.3）（hrs）,↓肾功能不全,注射后30分钟抽取峰值样本。0就在下次给药前抽取低谷值样本。0羧苄西林可使尿毒症患者庆大霉素的半衰期从46小时减至22小时。0如果通过每日给药一次(5mg／kg)使峰值浓度与MIC达到最优比例，O从而产生最佳杀菌效果及避免中毒；如果低谷浓度>1μg／ml(1mg／L)时，O就应减低药物剂量。0不推荐按此方法给药时进行峰值浓度测定。0
9,丙米嗪,180-350ng／ml,2008-10-16（hrs）,,该药与蛋白高度亲和，O病人特异性的蛋白结合降低可能使药物有效浓度发生偏差。0
10,利多卡因,1-52μg/ml,1.8；↑↓尿毒症、CHF；↑肝硬化（hrs）,↓CHF、肝脏疾病,应用西米替丁治疗时水平增加，O中枢神经系统中毒在老年人常见。0
11,锂剂,0.7-1.5mmol/L,22；↑尿毒症（hrs）,↓肾功能不全,噻嗪类(利尿药)和袢利尿剂可能增加血清锂水平。0
12,甲氨蝶呤,,8.4；↑尿毒症（hrs）,↓肾功能不全,应用免疫法测定7-羟基甲氨蝶呤时有1.5％出现免疫交叉反应。0为了尽量避免中毒，O如果开始治疗后48小时的甲氨蝶呤水平>0.1μmol／L，O就应当继续给予叶酸。048小时后甲氨蝶呤水平>1μmol／L时，O应补救性地增加叶酸剂量。0
13,去甲替林,50-140ng/ml,18-44（hrs）,,该药与蛋白高度亲和，O病人特异性的蛋白结合降低可能使药物有效浓度发生偏差。0
14,苯巴比妥,10-40μg/ml,86；↑肝硬化（hrs）,↓肝脏疾病,药物代谢主要通过肝脏微粒体酶系统。0药物间的相互作用较多。0
15,苯妥英,10-20μg/ml ↓尿毒症、低蛋白血症,剂量依赖（hrs）,,在免疫法测定中存在10％的代谢产物交叉反应。0代谢为容量限制性。0当接近治疗量时应谨慎地增加药物剂量，O因为新的稳态水平可能呈现不成比例地上升。0极高的蛋白亲和性，O当在尿毒症及低蛋白血症出现蛋白结合下降时，O常规治疗量就不适用了。0此种情况下，O可采用5～10μg／ml的参考值范围。0
16,扑痫酮,5-10μg/ml,8（hrs）,,与苯巴比妥的交叉反应率为0.5％。0代谢产物为苯巴比妥。0扑痫酮与苯巴比妥之比大于1：i2时提示病人依从性差。0
17,普鲁卡因胺,4-8μg/ml,3；↑尿毒症（hrs）,↓肾功能不全,30％血浆水平为12μg／ml～16μg／ml的患者出现心电图改变；40％血浆水平>16μg／ml的患者出现严重中毒。0代谢产物N-乙酰卡尼具有活性。0
18,奎尼丁,1-4μg/L,7；↓↑CHF；↑肝脏疾病（hrs）,↓CHF、肝脏疾病,在肝脏疾病和肾病时，O由于结合减少，O所以有效浓度降低。0
19,茶碱,5-20μg/ml,9（hrs）,↓CHF、肝硬化、使用西咪替丁,咖啡因交叉反应10％。0吸烟者的清除下降1.5～2倍。01，O3-二甲基脲酸代谢物在尿毒症时增加；因交叉反应性可引起可见的血清茶碱轻度增高。0
20,妥布霉素,峰值：5-10μg/ml，低谷值＜2μg/ml,2-3；↑尿毒症（hrs）,↓肾功能不全,"妥布霉素、i卡那霉素及氨基羟丁基卡那霉素A在免疫法中可能有交叉反应。0如果通过每日给药一次使峰值浓度与MIC达到最优比例，O从而产生最佳杀菌效果及避免中毒；如果低谷浓度>1μg,1／ml(1mg／L)时就应减低药物剂量。0不推荐按此方法给药时进行峰值浓度测定。0"
