medname,text,code,name
甲羟孕酮 | 氨鲁米特,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn氨鲁米特诱导肝酶，l降低甲羟孕酮的治疗作用(但有争议)。0合用时应监测甲羟孕酮的治疗效果，l其剂量可能需要增加。0预计甲羟孕酮和格鲁米特有类似的相互作用，l氨鲁米特和其他孕酮类药物之间可能也有相互作用。0,15,皮质激素和口服避孕药
口服避孕药 | 司来吉兰,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn两药合用可以增加司来吉兰的AUC和血药浓度，l应严密监测司来吉兰的血药浓度和毒性。0据推测这是司来吉兰的N-脱甲基作用受到抑制所致。0,15,皮质激素和口服避孕药
地高辛 | 艾司洛尔,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn与口服地高辛同时使用，l可增加地高辛AUC，l其他的药动学参数不受影响，l临床意义尚不能确定：i有人认为可能是由于肠内血管扩张导致口服地高辛生物利用度提高。0,11,强心苷
地高辛 | 红霉素,【严重性分级】Www~MediX~cnⅠ（严重）【相互作用】Www~MediX~cn常规地高辛治疗中加入红霉素可引起地高辛血药浓度升高近1倍，l毒性增加近10％。0接受地高辛治疗的患者主要是通过胃肠道细菌进行代谢，l代谢物不影响心肌，l对心功能影响小，l部分迅速从尿中排泄。0当抗生素杀死这些细菌后，l使地高辛代谢减少，l血药浓度升高。0其他大环内酯类抗生素与地高辛之间有类似的相互作用。0,11,强心苷
地高辛 | 丙吡胺,【严重性分级】Www~MediX~cnⅣ（一般）【相互作用】Www~MediX~cn目前所进行的研究表明，l两药可以合用，l丙吡胺对地高辛血药浓度没有明显的影响。0,11,强心苷
西咪替丁 | 多巴酚丁胺,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn西咪替丁抑制肝混合功能氧化酶系统而增强多巴酚丁胺的作用，l合用时应对病人进行密切观察，l多巴酚丁胺的剂量可能需要降低。0,14,制酸药和其他消化系统药物
地高辛 | 地西泮,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn有资料显示两药合用后，l地高辛血药浓度升高，l可能是延长地高辛半衰期和减少尿中排出。0,11,强心苷
地高辛 | 环孢素,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn有资料显示环孢素引起肾脏血流减慢，l使地高辛清除率降低，l血药浓度升高，l毒性增强，l但不同资料尚存在矛盾。0,11,强心苷
地高辛 | 环磷酰胺、泼尼松、丙卡巴肼、长春新碱,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn这四种药物与地高辛联合使用可使地高辛血药浓度降低。0合用细胞毒性药物可能引起肠黏膜损伤，l降低地高辛胃肠道吸收。0,11,强心苷
地高辛 | 美西律,【严重性分级】Www~MediX~cnⅣ（一般）【相互作用】Www~MediX~cn美西律对地高辛血药浓度没有显著影响。0,11,强心苷
地高辛 | 甲氧氯普胺,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn可降低地高辛的血药浓度，l但地高辛药代动力学的改变将取决于所使用的地高辛的剂型，l速释片、i胶囊剂和溶液剂吸收低于缓释片。0这是由于甲氧氯普胺促进肠胃蠕动，l使地高辛在吸收部位停留时间缩短，l吸收减少。0,11,强心苷
地高辛 | 白陶土,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn白陶土阻滞地高辛吸收，l使其药效降低。0,11,强心苷
地高辛 | 甲基多巴,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn有资料显示，l使用地高辛的患者服用甲基多巴，l有时会出现心动过缓症状。0这是由于地高辛可增强甲基多巴所致的心动过缓作用。0合并用药应密切观察，l一旦出现窦性心动过缓，l可用肼屈嗪替代甲基多巴。0,11,强心苷
地高辛 | 伊曲康唑,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn有资料显示伊曲康唑能升高地高辛血药浓度。0两药合用时应密切监测地高辛血药浓度，l地高辛的剂量可能需要调整。0,11,强心苷
地高辛 | 布洛芬,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn一项研究报道，l两药合用初期，l布洛芬可能增加地高辛血药浓度；但继续治疗28天后，l地高辛血药浓度趋于正常。0可能是由于非甾类抗炎药抑制肾功能，l从而减少地高辛肾脏排泄之故。0,11,强心苷
地高辛 | 羟氯喹,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn有资料显示，l羟氯喹可以使地高辛血药浓度上升。0建议减少地高辛的剂量。0,11,强心苷
地高辛 | 肝素,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn两药合用应谨慎，l接受大剂量肝素治疗时地高辛血药浓度应密切监测。0肝素释放游离脂肪酸与血清蛋白紧密结合，l而使地高辛与蛋白结合减少。0,11,强心苷
地高辛 | 呋塞米,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn两药合用可引起心律失常，l呋塞米和其他排钾利尿药引起的低血钾可使地高辛作用和毒性增强。0,11,强心苷
地高辛 | 氟西汀,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn对使用地高辛治疗的患者，l加用氟西汀后引起地高辛血药浓度升高，l毒性增强，l两药合用时应密切监测地高辛浓度的变化及毒性反应。0地高辛的剂量可能需要调整，l或者用其他药物替代氟西汀。0,11,强心苷
普萘洛尔 | 可卡因,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn合用普萘洛尔可增强可卡因诱导的冠状血管收缩作用，l两药应尽量避免同时使用。0与其他β受体阻滞剂合用有类似的相互作用。0,08,β受体阻滞药
氯胺酮 | 氟烷,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn氯胺酮阻滞交感神经具负性肌力作用，l在使用吸入麻醉剂时使用氯胺酮可导致小动脉的外周阻力骤增，l引起心输出量、i每搏输出量减少，l血压剧降，l可造成严重的低血压。0需严格监测病人的血压，l必要时进行血管加压。0类似反应发生在氯胺酮与其他吸入麻醉剂之间。0,20,麻醉药与肌松药
泮库溴铵 | 克林霉素,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn由于累加和协同作用，l克林霉素加强并延长泮库溴铵产生的神经肌肉阻滞，l在确需并用时应予监测，l并保证血氧供给。0类似反应也发生在克林霉素和林可霉素与其他非去极化肌松药之间。0克林霉素可增强琥珀胆碱的作用。0,20,麻醉药与肌松药
地高辛 | 柳氮磺吡啶,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn降低地高辛血药浓度，l两药合用应密切监测地高辛血药浓度，l必要时增加地高辛的剂量。0柳氮磺吡啶不影响地高辛注射剂。0,11,强心苷
地高辛 | 奎尼丁,【严重性分级】Www~MediX~cnⅠ（严重）【相互作用】Www~MediX~cn改变地高辛药代动力学，l主要从两方面来增加地高辛的血药浓度，l降低肾清除率和蛋白结合率，l导致分布容积减少。0两药合用建议减少地高辛剂量30％-50％。0奎宁也有类似作用。0,11,强心苷
地高辛 | 螺内酯,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn由于螺内酯竞争性阻滞，l两药合用可引起地高辛分布容积减少，l血浆清除率和肾小管清除率下降，l血药浓度升高以及血钾水平的波动。0应密切监测地高辛血药浓度及血钾的变化。0,11,强心苷
地高辛 | 丙胺太林,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn可使地高辛的吸收明显增加，l丙胺太林延长地高辛在肠道滞留时间，l使其吸收更完全，l尤其是缓释地高辛片。0,11,强心苷
地高辛 | 普罗帕酮,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn可引起地高辛血药浓度升高，l主要由于减少地高辛肾脏排泄。0氟卡尼与地高辛之间有同样相互作用，l但有争议。0普罗帕酮与其他强心苷类药物之间是否有相互作用尚待阐明。0,11,强心苷
地高辛 | 哌唑嗪,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn有资料显示服用哌唑嗪可升高地高辛血药浓度，l哌唑嗪可能引起口服地高辛吸收增加，l肾小管分泌减少，l肝清除降低以及蛋白结合率的改变。0,11,强心苷
地高辛 | 青霉胺,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn两药合用可明显降低地高辛血药浓度，l需监测并增加地高辛剂量，l与其他强心苷之间无此相互作用。0,11,强心苷
地高辛 | 新霉素,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn硫酸新霉素可以降低地高辛的血药浓度，l可能是加速地高辛代谢，l或者是由于新霉素改变肠黏膜通透性。0其他强心苷与新霉素以及口服氨基糖苷类与地高辛之间均有类似的相互作用。0,11,强心苷
氯氮平 | 氟伏沙明,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn氟伏沙明抑制氯氮平的肝代谢，l导致氯氮平血药浓度升高达269％，l使其不良反应率上升。0应密切监测，l必要时调整两药的剂量或停药。0帕罗西汀、i舍曲林有相似的相互作用。0,07,抗精神病和抗焦虑药物
地高辛 | 莫雷西嗪,【严重性分级】Www~MediX~cnⅣ（一般）【相互作用】Www~MediX~cn与地高辛之间无相互作用，l因此可以替代某些与地高辛有相互作用的抗心律失常药。0,11,强心苷
氟卡尼 | 活性炭,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn活性炭可以吸附氟卡尼，l降低氟卡尼的血药浓度。0抗心律失常药物与活性炭都有类似的相互作用。0两药服药间隔需要尽量延长。0,10,抗心律失常药物
地高辛 | 维拉帕米,【严重性分级】Www~MediX~cnⅠ（严重）【相互作用】Www~MediX~cn维拉帕米降低地高辛肾脏和肾外清除，l明显升高地高辛血药浓度，l治疗作用和毒性均增强。0硝苯地平、i尼卡地平、i依拉地平和苄普地尔也与地高辛有相互作用。0,11,强心苷
地高辛 | 甲氧苄啶,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn有资料显示甲氧苄啶可引起地高辛血药浓度升高。0可能由于减少了地高辛在肾小管的分泌，l两药合用应监测血药浓度。0主要通过肾脏排泄的强心苷与甲氧苄啶之间有类似的相互作用，l在肝脏代谢的强心苷则无此相互作用。0,11,强心苷
地高辛 | 曲唑酮,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn使用地高辛的患者给予曲唑酮，l可引起地高辛血药浓度从0．81ng／ml升至2．81ng／ml(治疗范围1.2～1.71ng／m1)，l毒性增强。0奈法唑酮同样可以使地高辛血药浓度升高。0,11,强心苷
地高辛 | 甲状腺素,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn甲亢患者或用甲状腺素治疗者，l地高辛的治疗作用可能减弱。0甲亢可引起地高辛和其他强心苷血药浓度降低。0,11,强心苷
地高辛 | 四环素,【严重性分级】Www~MediX~cnⅠ（严重）【相互作用】Www~MediX~cn有资料显示，l四环素杀死肠道细菌，l使地高辛代谢减少，l地高辛的稳态血药浓度升高。0四环素衍生物也有类似作用。0,11,强心苷
地西泮 | 利福平,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn利福平诱导肝酶，l导致地西泮的清除率增加，l血药浓度下降，l半衰期缩短。0必要时需增加地西泮的剂量，l其他苯二氮卓类药物也可能发生相似的相互作用。0,07,抗精神病和抗焦虑药物
地西泮 | 普萘洛尔,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn普萘洛尔抑制地西泮的代谢，l可导致地西泮血药浓度上升、i疗效增强。0地西泮的剂量可能需要降低。0其他β受体阻滞剂也可能发生相似的相互作用。0,07,抗精神病和抗焦虑药物
氯氮平 | 卡马西平,【严重性分级】Www~MediX~cnⅠ（严重）【相互作用】Www~MediX~cn卡马西平诱导肝微粒体酶，l使氯氮平血药浓度下降75％，l从而降低其抗精神病的疗效，l还可加重共济失调、i粒细胞缺乏等不良反应。0注意观察，l必要时调整剂量或停药。0,07,抗精神病和抗焦虑药物
地西泮 | 奥美拉唑,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn奥美拉唑抑制肝药酶，l导致地西泮的清除率下降达54％，l半衰期延长达130％，l血药浓度上升。0注意观察地西泮的不良反应。0与其他苯二氮卓类药物可能发生相似的相互作用。0,07,抗精神病和抗焦虑药物
地西泮 | 左旋多巴,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn苯二氮卓类药物可使脑内乙酰胆碱水平增加，l两药有拮抗作用，l导致左旋多巴的抗震颤麻痹作用减弱。0左旋多巴-卡比多巴也可与苯二氮卓类药物发生相似的相互作用。0,07,抗精神病和抗焦虑药物
地西泮 | 异烟肼,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn异烟肼抑制肝药酶的活性，l导致地西泮的半衰期延长，l血药浓度上升，l清除率下降。0注意观察，l必要时需下调地西泮的剂量。0,07,抗精神病和抗焦虑药物
地高辛 | 琥珀胆碱,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn有报道，l用地高辛治疗的患者给予琥珀胆碱后出现心律失常，l由于细胞内钾离子流失，l交感神经节后刺激，l或者是琥珀胆碱直接对心肌作用。0其他的强心苷与琥珀胆碱之间也有可能发生相互作用。0,11,强心苷
噻吗洛尔 | 泼尼松,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cnβ受体阻滞剂通过抑制肾素和醛甾酮的释放，l阻止与β2受体有关的肝脏和骨骼肌对钾的吸收，l从而引起血钾浓度少量增加，l应注意监测血钾浓度。0其他眼用β受体阻滞剂与其他皮质类固醇也可发生相互作用。0,08,β受体阻滞药
碳酸锂 | 阿昔洛韦,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn两药均以原形经肾排泄、i竞争排泄。0静注阿昔洛韦可使碳酸锂血药浓度由0.81mmol／L升至3.41mmol／L(正常值为0.6～1.21mmol／L)，l增大了碳酸锂的毒性。0需密切监测锂的血药浓度。0,07,抗精神病和抗焦虑药物
碳酸锂 | 乙酰唑胺,【严重性分级】Www~MediX~cnⅠ（严重）【相互作用】Www~MediX~cn由于碱化尿液或近端肾小管再吸收作用减弱，l导致锂的排泄量增加，l注意监测锂的血药浓度，l需加大锂的剂量以保证其疗效。0锂盐与其他碳酸酐酶抑制剂之间可能发生相似的相互作用。0,07,抗精神病和抗焦虑药物
氟哌啶醇 | 他克林,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn他克林可增加体内乙酰胆碱，l氟哌啶醇有多巴胺受体阻滞作用。0两药联用乙酰胆碱活性增强可导致帕金森综合征，l停药后症状消失。0注意观察。0其他抗精神病药酚噻嗪类、i硫杂蒽类，l如吗茚酮、i洛沙平、i氯氮平、i利培酮、i匹莫齐特等有类似相互作用。0,07,抗精神病和抗焦虑药物
氟哌啶醇 | 利福平,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn利福平诱导肝药酶，l加速氟哌啶醇的代谢，l使其血药浓度下降，l疗效降低。0但如在治疗中停用利福平又可致氟哌啶醇血药浓度上升。0注意观察疗效及不良反应。0利福喷汀和利福布汀也可发生相似的相互作用。0,07,抗精神病和抗焦虑药物
氟哌啶醇 | 伊曲康唑,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn伊曲康唑和酮康唑均可抑制肝药酶对氟哌啶醇的代谢，l导致氟哌啶醇和氟哌啶醇还原代谢物RHAL的血药浓度上升。0RHAL浓度的升高增强氟哌啶醇的不良反应。0,07,抗精神病和抗焦虑药物
氟哌啶醇 | 氟西汀,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn两药联用可加重锥体外系不应反应，l注意观察，l必要时停药。0,07,抗精神病和抗焦虑药物
氯氮平 | 红霉素,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn红霉素抑制肝酶，l导致氯氮平血药浓度上升，l诱发强直性痉挛。0注意观察氯氮平的毒性反应，l必要时减量或换用其他抗感染药。0,07,抗精神病和抗焦虑药物
氟哌啶醇 | 卡马西平,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn卡马西平增加了氟哌啶醇的肝代谢，l两药联用可能导致氟哌啶醇血药浓度下降，l疗效降低。0此外，l氟哌啶醇也可能加速卡巴西平在细胞间的转运。0注意观察。0,07,抗精神病和抗焦虑药物
地西泮 | 烟草,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn吸烟可刺激加速地西泮的代谢，l吸烟者使用地西泮其镇静作用减弱，l部分患者需增加地西泮的使用剂量。0其他苯二氮卓类药物也可能发生相似的相互作用。0,07,抗精神病和抗焦虑药物
泮库溴铵 | 环孢素,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn环孢素注射剂中所使用的非离子型表面活性赋形剂，l可干扰泮库溴铵，l增加其在神经肌肉连接处的浓度，l延长肌松效果，l导致肌肉麻痹，l呼吸窘迫，l影响血压、i心律和呼吸频率。0加强观察肌松效果的加强和延长。0类似反应发生在环孢素和其他非去极化肌松药之间。0,20,麻醉药与肌松药
地高辛 | 甲苯磺丁脲,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn有资料显示，l甲苯磺丁脲可引起地高辛血药浓度升高，l导致地高辛中毒和副作用增强。0格列苯脲与地高辛间无明显的相互作用。0,11,强心苷
琥珀胆碱 | 环磷酰胺,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn环磷酰胺通过抑制琥珀胆碱的代谢，l加强其神经肌肉阻滞作用，l并延长呼吸抑制。0联用两药时需测定拟胆碱酯酶活性，l或避免同用这两种药物。0其他抑制拟胆碱酯酶的细胞毒性药物也可与琥珀胆碱发生类似反应。0,20,麻醉药与肌松药
琥珀胆碱 | 西咪替丁,【严重性分级】Www~MediX~cnⅡ（谨慎）【相互作用】Www~MediX~cn西咪替丁显著延长琥珀胆碱的神经肌肉阻滞作用时间。0必要时加强辅助呼吸。0雷尼替丁和维库溴铵可发生类似反应。0,20,麻醉药与肌松药
异泊酚 | 地西泮,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn联用地西泮可增强异泊酚的作用，l导致恢复时间延迟。0需要监测病人状况。0,20,麻醉药与肌松药
异泊酚 | 氨茶碱,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn氨茶碱减弱异泊酚的作用，l两药合用需适当增加异泊酚的剂量。0应注意观察病人情况。0,20,麻醉药与肌松药
泮库溴铵 | 噻替哌,【严重性分级】Www~MediX~cnⅢ（注意）【相互作用】Www~MediX~cn两药需谨慎合用，l联用两药可导致迅速而持久的呼吸抑制，l注意观察，l准备血氧供应。0,20,麻醉药与肌松药
