medname,text,code,name
生物学通报,"该刊是1952年创办的综合性学术刊物，l月刊。0是全国核心期刊之一。0其主要栏目有科学家论坛、i生命科学进展、i基础知识、i教学参考资料、i新教师园地、i教学专题研究、i教学实践与交流、i实验与技术等。0 。主管部门：i中国科学技术协会
。主办单位：i中国动物学会1中国植物学会1北京师范大学
。编辑单位：i《生物学通报》编辑部
。主编：i郑光美
。主任：i张兰
。地址：i北京师范大学生命科学学院
。邮政编码：i100875
。电话：i010-58807645
。传真：i010-62207645
。电子邮件：iswxt@chinajournal.net
。国内刊号：i11-2042/Q
。国际刊号：i0006-3193
。邮发代号：i2-506",01,生物科学
生物物理学报,"该学报刊载生物物理基础研究和应用研究方面具有创造性、i高水平最新研究成果的原始性论文，l同时发表综述、i研究热点与进展等文章。0该刊被多种国内外重要检索刊物和引文数据库摘引和收录。0其主要栏目有研究论文、i综述、i研究热点与进展、i研究快报、i学术论坛、i国内外学术动态。0 。主管部门：i中国科学技术协会
。编辑单位：i《生物物理学报》编辑委员会
。主任：i蒋希萍
。地址：i北京市朝阳区大屯路15号
。邮政编码：i100101
。传真：i010-64877837
。网址：iwww.cjb.org.cn
。电子邮件：iacta@sun5.ibp.ac.cn
。国内刊号：i11-1992/Q
。国际刊号：i1000-6737",01,生物科学
生物技术通讯,"该刊1989年创刊，l双月刊，l主要报道生物技术（生物工程）及相关学科如分子生物学，l分子遗传学等领域的最新科研成果与进展。0设有研究报告、i技术方法、i综述、i经验交流、i专论研究快报、i生物药园及知识介绍等栏目。0 。主管部门：i军事医学科学院
。主办单位：i军事医学科学院生物工程研究所
。编辑单位：i《生物技术通讯》编辑部
。社长：i黄培唐
。地址：i北京市丰台区东大街20号
。邮政编码：i100071
。电话：i010-66948856
。传真：i010-63895646
。电子邮件：i1biolett@bj163.net1swtx@263.net
。国内刊号：i11-4226/Q
。国际刊号：i1009-0002
。邮发代号：i82-196",01,生物科学
生物技术通报,"该刊1985年创刊，l为双月刊。0其主要栏目有综述与专论、i技术与方法、i研究报告、i国际交流、i国外动态等。0 。主办单位：i中国农业科学院农业信息研究所
。编辑单位：i《生物技术通报》编辑部
。主编：i黄大昉
。地址：i北京市海淀区中关村南大街12号
。邮政编码：i100081
。电话：i010-68919925
。电子邮件：ibiotech@mail.caas.net.cn
。国内刊号：i11-2396/Q
。国际刊号：i1002-5464
。邮发代号：i18-92",01,生物科学
生物技术世界,"主管部门：i中华人民共和国教育部
。主办单位：i湖南大学
。主编：i石超英
。地址：i北京市复兴路15号816室
。邮政编码：i100038
。电话：i010-58882982
。国内刊号：i43-1368/Z
。国际刊号：i1672-1411",01,生物科学
生物化学与生物物理进展,"该刊1974年创刊，l为专业学术性刊物。0报道生物化学、i分子生物学、i生物物理学及神经科学等学科的国内外最新进展动态。0刊登实验报告、i快报、i技术与方法介绍和学术争鸣等。0 。主管部门：i中国科学院
。主办单位：i中国科学院生物物理研究所1中国生物物理学会
。编辑单位：i《生物化学与生物物理进展》编委会
。社长：i陈文雯
。主编：i王大成
。地址：i北京市朝阳区大屯路15号
。邮政编码：i100101
。电话：i010-64888459
。网址：iwww.pibb.ac.cn
。电子邮件：ipmg@sun5.ibp.ac.cn
。国内刊号：i11-2161/Q
。国际刊号：i1000-3282
。邮发代号：i2-816",01,生物科学
中华小儿外科杂志,"该刊1980年创刊，l月刊，l是我国小儿外科领域的权威杂志，l许多文章入选SCI、iCA、i荷兰医学文摘等世界权威检索系统。0该刊主要面向小儿外科、i儿科、i妇产科及相关医务工作者，l主要栏目有述评、i临床研究、i实验研究、i短篇报道、i综述、i讲座、i国际学术交流等十多个栏目。0 。主管部门：i中国科学技术协会
。主办单位：i中华医学会
。编辑单位：i《中华小儿外科杂志》编辑委员会
。主任：i武小琳
。地址：i武汉市胜利街155号
。邮政编码：i430014
。电话：i027-82846835
。传真：i027-82846835
。网址：iZHXE.chinajournal.net.cn
。电子邮件：ipediatri@public.wh.hb.cn
。国内刊号：i42-1158/R
。国际刊号：i0253-3006
。邮发代号：i38-19",11,儿科学
中国康复理论与实践,"该刊创刊l995年，l月刊。0是科技部中国科技论文统计源期刊。0该刊主要针对各种伤残的康复，l涉及诊断、i评定、i治疗、i工程、i教育、i社区、i职业、i社会、i管理、i信息和设备器械等方面，l具有理论与实践相结合的特点。0学术顾问有陈可冀院士、i韩济生院士、i卢士璧院士、i王永炎院士、i俞梦孙院士、i南登昆教授、i卓大宏教授和吴弦光教授。0 。主管部门：i中国残疾人联合会
。主办单位：i中国康复研究中心1中国残疾人康复协会中国医师协会
。编辑单位：i《中国康复理论与实践》编委会
。主编：i吴弦光
。地址：i北京市丰台区角门北路l0号
。邮政编码：il00068
。电话：i010-67567673167563322-6310
。传真：i010-67567673
。电子邮件：izamzhang@263.net
。国内刊号：i11-3759/R
。国际刊号：i1006-9771
。邮发代号：i82-35",07,临床医学
实验动物科学与管理,"1984年农业部批准北京农业大学实验动物所创办《实验动物科学杂志》，l1985年改为季刊，l1987年与北京实验动物学会合办，l1988年起，l由北京实验动物学会、i北京实验动物研究中心合办，l由北京市科协、i市科委主管，l改名为《北京实验动物科学》，l1991年经科委批准公开出版发行，l1994年改名为《实验动物科学与管理》，l由北京实验动物学学会、i北京实验动物管理委员会、i北京实验动物研究中心共同主办，l并加入中国学术期刊网。0其主要栏目有：i研究观察、i管理设施、i综述进展、i技术方法、i经验交流、i法规标准、i3R专栏、i动态信息。0 。主管部门：i北京市科学技术研究院
。编辑单位：i《实验动物科学与管理》编辑部
。社长：i张树庸
。地址：i北京市安定门外大羊坊6号
。邮政编码：i100012
。电话：i010-84922374
。传真：i010-84922666-3210
。电子邮件：iSYDG@chinajournal.net.cn
。国内刊号：i11-3568/Q
。国际刊号：i1006-6179
。邮发代号：i18-131",02,医药卫生综合类
美国医学会杂志（中文版）,"双月刊，l该刊以教育为宗旨，l可使读者全面了解医学临床及科研进展，l以及与医务人员有关的其他领域的进展。0其主要栏目有原著、i合理临床检查、i科学综述与临床应用、i述评、i原著摘要等。0 。主办单位：i中华医学会
。主编：i黄志强
。地址：i北京市东四西大街42号
。邮政编码：i100710
。电话：i010-65273367
。电子邮件：icmazzs@public.sti.ac.cn
。国内刊号：i11-2153/R
。国际刊号：i1000-842X
。邮发代号：i82-483",02,医药卫生综合类
解放军医学杂志,"该刊1964年创刊，l是综合性医学学术性期刊。0 。主管部门：i中华人民解放军总后勤部卫生部
。主办单位：i中华人民解放军总后勤部卫生部
。编辑单位：i《解放军医学杂志》编辑委员会
。社长：i齐学进
。地址：i北京市复兴路22号甲3号
。邮政编码：i100842
。电话：i010-51927306
。传真：i010-51927306
。电子邮件：imjcpla@pmmp.com.cn
。国内刊号：i11-1056/R
。国际刊号：i0577-7402
。邮发代号：i2-74",02,医药卫生综合类
中国生物化学与分子生物学报,"该刊1985年创刊，l双月刊，l为高科技学术期刊，l主要刊登生物化学与分子生物学以及相关领域的反映国内外研究进展的综述和具有创新性的原始研究论文。0“九五”功关，l“863”计划以及国家自然科学基金等项目的论文占80%以上，l信息量大，l学术水平高。0其主要栏目有综述、i研究快报、i研究论文、i技术与方法。0 。主管部门：i中国科学技术协会
。主办单位：i中国生物化学与分子生物学会
。编辑单位：i《中国生物化学与分子生物学报》编委会
。主编：i张迺蘅
。地址：i北京市学院路38号北京大学医学部
。邮政编码：i100083
。电话：i010-82801416
。传真：i010-82801416
。电子邮件：ishxb@bjmu.edu.cn
。国内刊号：i11-3870/Q
。国际刊号：i1007-7626
。邮发代号：i82-312",01,生物科学
山西中医学院学报,"该刊1999年创刊，l为季刊，l系学术性期刊。0主要栏目有医史文献、i实验中医药学、i临床研究、i临床实验讲座和综述等。0 。主管部门：i山西省卫生厅
。主办单位：i山西中医学院
。编辑单位：i《山西中医学院学报》编辑部
。主编：i冯前进
。地址：i太原市晋祠路169号
。邮政编码：i030024
。电话：i0351-6336638
。电子邮件：ishan@chinajournal.net.cn
。国内刊号：il4-1265/R
。国际刊号：i1671-0258
。邮发代号：i22-7l",03,高等院校学报类
中国听力语言康复科学杂志,"该刊2003年创刊，l双月刊，l主要栏目有专家笔谈、i基础研究、i临床研究、i综述、i康复教育、i康复论坛、i新技术、i新方法。0 。主管部门：i中国残疾人联合会
。主办单位：i中国聋儿康复研究中心
。编辑单位：i《中国听力语言康复科学杂志》编辑部
。总编：i聂滨
。地址：i北京市朝阳区安外惠新里甲8号
。邮政编码：i100029
。电话：i010-84639344184630488
。传真：i010-84639344
。电子邮件：ijournal@chinadeaf.com
。国内刊号：i11-5138/R
。国际刊号：i1672-4933
。邮发代号：i82-915",15,耳鼻咽喉科学
中国耳鼻咽喉颅底外科杂志,"该刊l995年创刊，l双月刊，l附属湘雅医院
。承办，l国内外公开发行的医学学术性期刊，l设有论著、i短篇论著、i经验交流、i病例报道、i综述、i技术与方法等栏目。0 。主管部门：i中华人民共和国教育部
。主办单位：i中南大学
。编辑单位：i《中国耳鼻咽喉颅底外科杂志》编辑委员会
。主编：i田勇泉1肖健云
。地址：i湖南省长沙市湘雅路87号
。邮政编码：i410008
。电话：i0731-4327469
。传真：i0731-4327469
。电子邮件：ixyent@126.com
。国内刊号：i43-1241/R
。国际刊号：i1007-1520
。邮发代号：i42-171",15,耳鼻咽喉科学
听力学及言语疾病杂志,"该刊l993年创刊，l为双月刊，l是中华耳鼻咽喉科学会领导下的国内外公开发行的国内唯一一本有关听力及嗓音言语医学专业的学术期刊。0该刊主要报道本专业的临床及基础研究，l包括听觉及嗓音言语系统的解剖、i生理、i病理、i听觉和发声、i言语障碍及异常的诊断、i检测方法、i相关的治疗，l如听觉和发声功能重建，l发声训练和言语诊治，l国内外有关本专业的新进展、i新技术等等。0其主要栏目有论著、i研究报告、i技术与方法、i经验交流、i综述、i译文、i病例报告、i域外期刊。0 。主管部门：i中华人民共和国教育部
。编辑单位：i《听力学及言语疾病杂志》编
。辑委员会
。主编：i涛泽璋1顾瑞1韩德民
。地址：i武汉市武昌区紫阳路5号
。邮政编码：i430060
。电话：i027-880439581880141911-6459
。传真：i027-88043958
。网址：iwww.chinainfo.gov.cn/periodical
。电子邮件：ijasp@public.wh.hb.cn
。国内刊号：i42-l391/R
。国际刊号：i1006-7299
。邮发代号：i38-224",15,耳鼻咽喉科学
中华肝胆外科杂志,"该刊l995年创刊，l为月刊。0主要栏目有肝脏外科、i临床研究、i实验研究、i诊疗经验、i技术经验、i论著摘要、i一线集萃、i综述等。0 。主管部门：i中国科学技术协会
。编辑单位：i《中华肝胆外科杂志》编辑委员会
。主任：i顾万清
。社长：i刘永雄
。地址：i北京市复兴路28号
。邮政编码：i100853
。电话：i010-68177009
。传真：i010-68177009
。网址：iwww.cmaph.com.cn
。电子邮件：izhgdwkzz@vip.163.com
。国内刊号：i11-3884/R
。国际刊号：i1007-8118
。邮发代号：i82-857",09,外科学
临床神经电生理学杂志,"该刊l992年创刊，l季刊，l坚持“临床神经电生理”专业方向，l刊载以可参考借鉴的临床实践经验总结的文稿为主，l同时也刊载一些有较高理论水平的基础研究的文稿。0 。主管部门：i贵阳医学院
。主办单位：i贵阳医学院1中华医学会神经病学分会脑电图与癫痫学组
。编辑单位：i《临床神经电生理学杂志》编辑部
。主编：i吴逊1刘健1张文渊
。地址：i贵阳市贵医街28号
。邮政编码：i550004
。电话：i0851-6850654
。传真：i0851-6850654
。网址：iwww.obed.chinajournal.net.cn
。电子邮件：iobed@chinajournal.net.cn
。国内刊号：i52-1131/R
。国际刊号：i1009-5934
。邮发代号：i66-56",13,神经学与精神病学
中国临床心理学杂志,"该刊为双月刊，l是经国家科委批准的中央级学术性刊物，l为中国科协优秀科技期刊、i国家科委科技论文统计分析源期刊、i中国医学核心期刊，l主要内容涉及心理治疗与咨询、i心理和教育测量、i神经心理、i健康心理、i病理心理、i病人心理、i儿童青少年学习和行为问题等，l主要面向读者为临床心理学工作者、i心理学工作者、i医务人员、i儿童保健、i教育、i司法鉴定、i学校卫生、i人事管理、i人才开发以及其他特殊职业(体育、i航空、i军事等)工作人员等。0 。主管部门：i中国科学技术协会
。主办单位：i中国心理卫生协会
。编辑单位：i《中国临床心理学杂志》编辑部
。主编：i龚耀先
。地址：i湖南省长沙市人民路l39号湘雅二医院内
。邮政编码：i410011
。电话：i0731-5524222-2662
。传真：i0731-5538250
。电子邮件：izlcy@chinajournal.net.cn
。国内刊号：i43-1214/R
。国际刊号：il005-3611
。邮发代号：i42-122",13,神经学与精神病学
国际神经病学神经外科学杂志,"原刊名《国外医学·神经病学神经外科学分册》。01974年创刊，l双月刊，l经国家科技部、i国家新闻出版总署批准，l自2005年8月起更名为《国际神经病学神经外科学杂志》，l由中南大学湘雅医院承办。0该刊在保留综述栏目的基础上，l将以论著、i临床研究、i疑难病例讨论、i病例报道、i专家讲座、i文摘等栏目为主。0 。主管部门：i中华人民共和国教育部
。主办单位：i中南大学
。主编：i刘运生1杨期东
。编辑单位：i《国际神经病学神经外科学杂志》杂志社
。地址：i湖南省长沙市湘雅路87号
。邮政编码：i410008
。电话：i0731-4327401
。传真：i0731-4327401
。网址：igwsk.chinajournal.net.cn
。电子邮件：ineurogxm@public.cs.hn.cn
。国内刊号：i43-1456/R
。国际刊号：i1001-1056
。邮发代号：i42-11",13,神经学与精神病学
国际精神病学杂志,"原刊名《国外医学·精神病学分册》。0该刊1974年创刊，l为季刊，l自2005年8月起变更刊名为《国际精神病学杂志》，l系中南大学湘雅二医院承办的医学学术信息期刊，l主要介绍精神病学与精神卫生及有关方面的新进展、i新动态、i新理论和新成就，l以刊登综述文章为主，l让读者及时了解国外精神医学新信息的宗旨，l适用于精神卫生工作者、i临床医务人员及医学心理工作者。0 。主管部门：i中华人民共和国教育部
。主办单位：i中南大学
。编辑单位：i《国际精神病学杂志》编辑部
。主编：i赵靖平
。地址：i长沙市人民中路139号湘雅二医院内
。邮政编码：i410011
。电话：i0731-553157115550269
。电子邮件：ixgch@public.cs.hn.cn
。国内刊号：i43-1135/R
。国际刊号：i1001-120X
。邮发代号：i42-12",13,神经学与精神病学
临床和实验医学杂志,"该刊2002年创刊，l季刊。0 。主管部门：i北京市卫生局
。主办单位：i首都医科大学附属北京友谊医院
。编辑单位：i《临床和实验医学杂志》编辑部
。主编：i刘建
。地址：i北京市宣武区永安路95号
。邮政编码：i100050
。电话：i010-63014411-3564
。传真：i010-63015633
。电子邮件：iLCHSYYY@263.net
。国内刊号：i11-4749/R
。国际刊号：i1671-4695",02,医药卫生综合类
透析与人工器官,"该刊l990年创刊，l为季刊。0主要栏目有研究报告、i临床报告与临床技术研究。0 。主管部门：i天津市科委
。编辑单位：i《透析与人工器官》编辑部
。主编：i马腾骧
。地址：i天津市河西区平江道23号
。邮政编码：i300211
。国内刊号：i12-1219/R
。国际刊号：i1005-0809",09,外科学
中华整形外科杂志Chinese Journal of Plastic Surgery,"原刊名《中华整形烧伤外科杂志》。0该刊1985年创刊，l双月刊，l以整形外科、i烧伤外科、i显微处科、i骨科、i口腔科、i耳鼻喉科、i眼科、i泌尿外科、i皮肤科等学科临床医师为读者对象，l除设置述评、i论著、i综述、i经验介绍、i病例介绍等常规栏目外，l还设有皮瓣研究、i烧伤后晚期治疗、i美容外科、i手外科、i显微外科、i唇腭裂、i颅颌面外科等特色栏目。0 。主管部门：i中国科学技术协会
。主办单位：i中华医学会
。编辑单位：i《中华整形外科杂志》编辑委员会
。总编：i戚可名
。主任：i崔政
。地址：i北京市八大处路
。邮政编码：i100041
。电话：i010-88703789188960006
。传真：i010-88703789
。网址：icmaph.com.cn
。电子邮件：icjpls@cma.org.cn
。国内刊号：i11-4453/R
。国际刊号：i1009-4598
。邮发代号：i18-95",09,外科学
中国农村医学杂志,"该刊是趋光性医学综合科技期刊，l主要面向基层医药卫生人员，l是以农村基层医务人员继续教育为主要目的的医学科技期刊。0该刊以提高广大医药卫生人员的医学理论知识及业务技术水平，l提高对各种疾病的诊疗水平，l了解医药信息及临床医疗和科研新进展、i新成果，l交流防治疾病的经验体会和新技术、i新方法为办刊宗旨。0 。主办单位：i中国农村医学杂志社
。编辑单位：i中国农村医学杂志社
。地址：i北京市学院路38号北大医学部349号信箱
。邮政编码：i100083
。电话：i010-62256238
。电子邮件：izgncyx@163.com
。国际刊号：i1684-3886",02,医药卫生综合类
中国生物工程杂志,"该刊1976年创刊，l月刊，l是我国生物工程领域全国性学术团体、i国家一级学会——中国生物工程学会会刊。0内容涉及医药生物技术、i农业生物技术、i轻化工生物技术、i环境生物技术、i海洋生物技术等专业领域。0设有学术论文、i研究进展、i研究报告、i专题论述、i技术与方法、i评论、i新闻报道、i生物工程领域知识产权研究、i市场与商情、i会议消息、i动态等栏目，l还以杂志专集、i增刊等的形式出版生物工程专题著述。0 。主管部门：i中国科学院
。主办单位：i中国科学院文献情报中心科技部中国生物工程开发中心
。编辑单位：i《中国生物工程杂志》编辑部
。主编：i张树庸
。地址：i北京市中关村北四环西路33号
。邮政编码：i100080
。电话：i010-82624544182626611-6631
。传真：i010-82624544
。网址：iwww.las.ac.cn
。电子邮件：ibiotech@mail.las.ac.cn
。国内刊号：i11-4816/Q
。国际刊号：i1671-8135
。邮发代号：i82-673",01,生物科学
中华眼科杂志 Chinese Journal of Ophthalmology,"该刊l950年创刊，l月刊，l为中华医学会主办的眼科专业性学术期刊，l以广大眼科医师为主要读者对象，l报道眼科领域内领先的科研成果和临床诊疗经验，l以及对眼科临床有指导作用且与眼科临床密切结合的基础理论研究。0该刊的办刊宗旨贯彻党和国家对卫生工作的方针政策，l贯彻理论与实践、i普及与提高相结合的办刊方针，l反映我国眼科临床和科研工作的重大进展，l促进国内外眼科学术交流。0其主要栏目有专家述评、i防盲及流行病学调查、i论著、i调查研究、i论著摘要、i技术交流、i病例报告、i继续教育园地。0 。主管部门：i中国科学技术协会
。编辑单位：i《中华眼科杂志》编辑委员会
。主编：i赵家良
。地址：i北京市西四西大街42号
。邮政编码：i100710
。电话：i010-85158241
。传真：i010-85158241
。网址：iwww.cmaph.com.cn
。电子邮件：icjo@cma.org.cn
。国内刊号：i11-2142/R
。国际刊号：i0412-4081
。邮发代号：i2-60",16,眼科学
中国执业药师,"该刊为月刊。0 。主管部门：i国家药品监督管理局
。地址：i北京市西城区北礼士路甲38号SFDA办公楼
。邮政编码：i100810
。电子邮件：izgzyys@263.net
。国内刊号：i11-5132/R
。国际刊号：i1672-5433",19,药学
卒中与神经疾病,"原刊名《临床实用神经疾病杂志》。0该刊为国家科委正式批准、i国内外公开发行的神经科学专业性学术期刊，l入选为中国科技论文统计源期刊。0该刊及时介绍国内外神经科专业的新进展，l解决临床的实际问题，l读者对象为初、i中、i高级医药、i卫技专业的临床、i科研及教学人员，l辟有论著与学术交流、i评论、i综述(病例)讨论、i专题讲座、i专利评价、i新药新仪器介绍及国内外学术动态报道等。0 。主管部门：i湖北省卫生厅
。编辑单位：i《卒中与神经疾病》编辑委员会
。总编：i曾庆杏1王镇涛1余绍祖
。地址：i武汉市武昌区紫阳路5号
。邮政编码：i430060
。电话：i027-88041919-8839/6456188080221
。网址：iwww.chinainfo.gov.cn/periodical1www.hbsti.ac.cn/periodical
。国内刊号：i42-1402/R
。国际刊号：il007-0478
。邮发代号：i38-305",13,神经学与精神病学
中国医院用药评价与分析,"该刊于2001年创刊，l双月刊，l是经国家卫生部新闻处批复、i国家新闻出版总署批准。0其主要栏目有专家论坛、i用药评价、i用药分析、i药物经济学、i用药观察、i合理用药、i综述讲座、i医师园地。0 。主管部门：i中华人民共和国卫生部
。主办单位：i中国生物技术协会《中国药房》杂志社
。编辑单位：i《中国医院用药评价与分析》编辑部
。主任：i黎志明
