medname,text,code,name
感受器,分布在体表或组织内部，l专门感受机体内、i外环境改变的结构，l是神经末梢的特殊构造，l能把内外界刺激的信息转变为神经的兴奋并向中枢传导。0,06,神经科
免疫防御,免疫系统通过正常免疫应答，l阻止和消除入侵病原体及其毒素作用，l从而使机体免于疾病的功能。0,29,免疫学
环转运动,关节屈曲、i伸展与外展、i内收组合的运动。0,28,运动医学
外旋,垂直轴、i水平面运动，l身体向外侧的运动。0,28,运动医学
神经,神经纤维在中枢神经系统以外部位聚合而成的粗细不等的长条状结构。0,06,神经科
神经纤维束,起止、i行程和功能基本相同的一束神经纤维。0如皮质脊髓束等。0,06,神经科
神经核,位于皮质下方脑白质区域内，l由形态、i功能相似的神经元胞体聚集所成的团块结构。0其在新鲜标本上呈暗灰粉色，l属于灰质结构，l如面神经核等，l是相应的神经中枢所在。0,06,神经科
皮质,在脑表面覆盖的一层灰色结构（灰质），l也称皮层。0如大脑皮质、i小脑皮质。0小脑皮质参见“皮质”。0,06,神经科
灰质,中枢部神经元胞体及树突聚集的地方。0因其在新鲜标本上看来呈暗灰粉色，l故而称之。0如“脊髓灰质”、i“大脑灰质”等。0“脊髓灰质、i大脑灰质”参见“灰质”。0,06,神经科
脑白质,位于大脑皮质下方的“白质”。0“脊髓白质”参见“白质”。0,06,神经科
白质,中枢神经系统中神经纤维聚集的区域。0因在新鲜标本上髓鞘色泽白亮而称之。0如“脑白质”、i“脊髓白质”。0,06,神经科
大脑,"位于颅腔内的最高级的中枢神经结构。0它由两个结构大致对称的半球组成，l每个半球表面覆盖的一层灰质结构称为“大脑皮质”，l也称“大脑皮层”；皮肤深处是“脑白质”。0大脑功能与人的活动、i感觉、i情绪、i意识、i智力等有直接关系。0大脑病变时，l可表现出意识和精神活动障碍、i失语、i失用、i失认、i偏瘫、i偏盲、i偏身感觉障碍、i癫痫发作等症状。0大脑即“大脑皮层”或“端脑”。0“大脑皮质”参见“大脑”。0 。 。大脑。位于颅腔内的最高级的中枢神经结构。0它由两个结构大致对称的半球组成，l每个半球表面覆盖的一层灰质结构称为“大脑皮质”，l也称“大脑皮层”；皮肤深处是“脑白质”。0大脑功能与人的活动、i感觉、i情绪、i意识、i智力等有直接关系。0大脑病变时，l可表现出意识和精神活动障碍、i失语、i失用、i失认、i偏瘫、i偏盲、i偏身感觉障碍、i癫痫发作等症状。0",06,神经科
神经递质,一种神经末梢释放的、i具有传递神经冲动作用的化学物质。0它能作用于与之发生联系的后继神经元或效应器，l引起后者兴奋或抑制，l以接续上一神经元向后继联系的冲动传递，l实现神经对机体的支配功能。0经典的神经递质为乙酰胆碱和去甲肾上腺素。0,06,神经科
