"_type","cate","desc","title"
"MedsciItem","精神心理系统","Self-Rating Depression Scale,SDS","抑郁自评量表(SDS)"
"MedsciItem","精神心理系统","Self-Rating Anxiety Scale,SAS","焦虑自评量表(SAS)"
"MedsciItem","精神心理系统","Beck Depression Inventory,BDI","贝克抑郁自评量表"
"MedsciItem","精神心理系统","childhood autism rating scale, CARS","儿童孤独症评定量表"
"MedsciItem","呼吸系统","ABCD2 Score for TIA ","一过性脑缺血发作（TIA）ABCD2 评分 "
"MedsciItem","呼吸系统","Canadian C-Spine Rule ","加拿大颈椎规则"
"MedsciItem","呼吸系统","CHA2DS2-VASc Score for Atrial Fibrillation Stroke Risk ","房颤患者卒中预防风险CHA2DS2-VASc评分"
"MedsciItem","呼吸系统","CHADS2 Score for Atrial Fibrillation Stroke Risk ","心房纤颤卒中风险的CHADS2评分"
"MedsciItem","呼吸系统","CSF WBC Correction for RBCs ","根据红细胞计数校正脑脊液白细胞计数"
"MedsciItem","呼吸系统","Glasgow Coma Scale/Score ","格拉斯哥昏迷评分"
"MedsciItem","呼吸系统","Hunt and Hess Classification of Subarachnoid Hemorrhage (SAH) ","蛛网膜下腔出血Hunt and Hess分类法"
"MedsciItem","呼吸系统","Intracerebral Hemorrhage (ICH) Score ","脑内出血评分"
"MedsciItem","呼吸系统","NEXUS Criteria for C-Spine Imaging ","美国X线成像急症应用研究颈椎成像标准"
"MedsciItem","呼吸系统","NIH Stroke Scale/Score (NIHSS) ","美国国立卫生研究院卒中量表"
"MedsciItem","呼吸系统","Phenytoin/Dilantin Correction for Albumin or Renal Failure ","根据白蛋白或肾衰竭校正苯妥英钠浓度 "
"MedsciItem","呼吸系统","San Francisco Syncope Rule to Predict Serious Outcomes ","旧金山晕厥严重预后预测评分"
"MedsciItem","呼吸系统","ASIA Impairment Scale ","ASIA损伤分级"
"MedsciItem","呼吸系统","Muscle Strength Scale(MRC) ","肌力分级(MRC)"
"MedsciItem","呼吸系统","Essen Stroke Risk Score,ESRS","ESSEN评分"
"MedsciItem","呼吸系统","Self-Rating Depression Scale,SDS","抑郁自评量表(SDS)"
"MedsciItem","肾脏系统","A-a O2 Gradient ","肺泡－动脉氧分压差"
"MedsciItem","肾脏系统","Anion Gap ","阴离子间隙"
"MedsciItem","肾脏系统","Calcium Correction for Hypoalbuminemia ","低白蛋白血症患者钙浓度校正"
"MedsciItem","肾脏系统","Creatinine Clearance (Cockcroft-Gault Equation) ","肌酸酐清除率"
"MedsciItem","肾脏系统","Fractional Excretion of Sodium (FENa) ","钠排泄分数"
"MedsciItem","肾脏系统","Fractional Excretion of Urea (FEUrea) ","尿素排泄分数"
"MedsciItem","肾脏系统","Free Water Deficit in Hypernatremia ","高钠血症患者游离水缺乏量计算"
"MedsciItem","肾脏系统","Maintenance Fluids Calculations ","维持液体计算"
"MedsciItem","肾脏系统","MDRD GFR Equation ","MDRD肌酐清除率计算公式"
"MedsciItem","肾脏系统","Pediatric Ins and Outs (per kg and per hour) ","儿童的入量和出量（每公斤和每小时）"
"MedsciItem","肾脏系统","Serum Osmolality/Osmolarity ","血清渗透压"
"MedsciItem","肾脏系统","Sodium Correction Rate in Hyponatremia ","低钠血症钠校正率"
"MedsciItem","肾脏系统","Sodium Deficit in Hyponatremia ","低钠血症的钠缺乏量计算"
"MedsciItem","肾脏系统","Transtubular Potassium Gradient (TTKG) ","肾小管钾浓度梯度计算"
"MedsciItem","肾脏系统","Fractional Excretion of Ca(FECa) ","钙排泄分数"
"MedsciItem","肾脏系统","Fractional Excretion of Mg(FEMg) ","镁排泄分数"
"MedsciItem","神经系统","ABCD2 Score for TIA ","一过性脑缺血发作（TIA）ABCD2 评分 "
"MedsciItem","神经系统","Canadian C-Spine Rule ","加拿大颈椎规则"
"MedsciItem","神经系统","Canadian CT Head Injury/Trauma Rule ","加拿大头部CT规则"
"MedsciItem","神经系统","CHA2DS2-VASc Score for Atrial Fibrillation Stroke Risk ","房颤患者卒中预防风险CHA2DS2-VASc评分"
"MedsciItem","神经系统","CHADS2 Score for Atrial Fibrillation Stroke Risk ","心房纤颤卒中风险的CHADS2评分"
"MedsciItem","神经系统","CSF WBC Correction for RBCs ","根据红细胞计数校正脑脊液白细胞计数"
"MedsciItem","神经系统","Glasgow Coma Scale/Score ","格拉斯哥昏迷评分"
"MedsciItem","神经系统","Hepatic Encephalopathy Grades/Stages ","肝性脑病临床分级"
"MedsciItem","神经系统","Hunt and Hess Classification of Subarachnoid Hemorrhage (SAH) ","蛛网膜下腔出血Hunt and Hess分类法"
"MedsciItem","神经系统","Intracerebral Hemorrhage (ICH) Score ","脑内出血评分"
"MedsciItem","神经系统","New Orleans/Charity Head Trauma/Injury Rule ","新奥尔良头部创伤规则"
"MedsciItem","神经系统","NEXUS Criteria for C-Spine Imaging ","美国X线成像急症应用研究颈椎成像标准"
"MedsciItem","神经系统","NIH Stroke Scale/Score (NIHSS) ","美国国立卫生研究院卒中量表"
"MedsciItem","神经系统","PECARN Pediatric Head Injury/Trauma Algorithm ","PECARN（儿童急诊医疗应用研究网络）儿童头部创伤算法"
"MedsciItem","神经系统","Phenytoin/Dilantin Correction for Albumin or Renal Failure ","根据白蛋白或肾衰竭校正苯妥英钠浓度 "
"MedsciItem","神经系统","San Francisco Syncope Rule to Predict Serious Outcomes ","旧金山晕厥严重预后预测评分"
"MedsciItem","神经系统","ASIA Impairment Scale ","ASIA损伤分级"
"MedsciItem","神经系统","Essen Stroke Risk Score,ESRS","ESSEN评分"
"MedsciItem","神经系统","Self-Rating Depression Scale,SDS","抑郁自评量表(SDS)"
"MedsciItem","神经系统","Self-Rating Anxiety Scale,SAS","焦虑自评量表(SAS)"
"MedsciItem","神经系统","Beck Depression Inventory,BDI","贝克抑郁自评量表"
"MedsciItem","神经系统","Morse Fall Scale","Morse跌倒危险因素评估量表"
"MedsciItem","肌肉骨骼系统","Ottawa and Pittsburgh Knee Rules ","渥太华和匹兹堡膝关节规则"
"MedsciItem","肌肉骨骼系统","Ottawa Ankle Rules ","渥太华足踝损伤鉴别诊断标准"
"MedsciItem","肌肉骨骼系统","Parkland Formula for Burns ","派克兰烧伤公式"
"MedsciItem","肌肉骨骼系统","Braden Scale","Braden压疮评分表"
"MedsciItem","免疫系统","Absolute Neutrophil Count (ANC) ","嗜中性粒细胞绝对值"
"MedsciItem","免疫系统","CSF WBC Correction for RBCs ","根据红细胞计数校正脑脊液白细胞计数"
"MedsciItem","免疫系统","HIV Needle Stick Risk Assessment Stratification Protocol (RASP) ","HIV针刺风险评估层次协议"
"MedsciItem","免疫系统","PSI/PORT Score: Pneumonia Severity Index for Adult CAP ","成人社区获得性肺炎严重性评分 "
"MedsciItem","血液系统","Absolute Neutrophil Count (ANC) ","嗜中性粒细胞绝对值"
"MedsciItem","血液系统","Absolute Reticulocyte Count(Reticulocyte Index) ","网织红细胞绝对值"
"MedsciItem","血液系统","CSF WBC Correction for RBCs ","根据红细胞计数校正脑脊液白细胞计数"
"MedsciItem","血液系统","Glasgow-Blatchford Bleeding Score (GBS) ","格拉斯哥-布拉奇福德出血评分"
"MedsciItem","血液系统","Well's Criteria for DVT ","深静脉血栓Well评分"
"MedsciItem","血液系统","Well's Criteria for Pulmonary Embolism/PE ","肺栓塞Well评分 "
"MedsciItem","胃肠道系统","Acetaminophen Overdose and NAC Dosing ","醋氨酚过量和乙酰半胱氨酸剂量"
"MedsciItem","胃肠道系统","Alvarado Score for Acute Appendicitis ","急性阑尾炎Alvarado评分"
"MedsciItem","胃肠道系统","Calcium Correction for Hypoalbuminemia ","低白蛋白血症患者钙浓度校正"
"MedsciItem","胃肠道系统","Child-Pugh Score for Cirrhosis Mortality ","肝硬化死亡率的Child-Pugh评分"
"MedsciItem","胃肠道系统","Glasgow Alcoholic Hepatitis Score ","格拉斯哥酒精性肝炎评分"
"MedsciItem","胃肠道系统","Glasgow-Blatchford Bleeding Score (GBS) ","格拉斯哥-布拉奇福德出血评分"
"MedsciItem","胃肠道系统","Hepatic Encephalopathy Grades/Stages ","肝性脑病临床分级"
"MedsciItem","胃肠道系统","King's College Criteria ","国王学院标准"
"MedsciItem","胃肠道系统","Maddrey's Discriminant Function for Alcoholic Hepatitis ","酒精性肝炎Maddrey判别函数 "
"MedsciItem","胃肠道系统","MELD Score (Model For End-Stage Liver Disease) (12 and older) ","终末期肝病模型(12岁及12岁以上)"
"MedsciItem","胃肠道系统","PELD Score (Pediatric End-Stage Liver Disease) (younger than 12) ","儿童终末期肝病评分(12岁及12岁以下) "
"MedsciItem","胃肠道系统","Ranson's Criteria for Pancreatitis Mortality ","胰腺炎死亡率Ranson评分"
"MedsciItem","胃肠道系统","Stool Osmolar/Osmotic Gap ","粪便渗透压差"
"MedsciItem","内分泌/代谢系统","Anion Gap ","阴离子间隙"
"MedsciItem","内分泌/代谢系统","Basal Energy Expenditure ","基础能量消耗"
"MedsciItem","内分泌/代谢系统","Bicarbonate Deficit ","碳酸氢盐缺乏"
"MedsciItem","内分泌/代谢系统","BMI and Body Surface Area (BSA) ","体质指数和体表面积"
"MedsciItem","内分泌/代谢系统","Calcium Correction for Hypoalbuminemia ","低白蛋白血症患者钙浓度校正"
"MedsciItem","内分泌/代谢系统","Free Water Deficit in Hypernatremia ","高钠血症患者游离水缺乏量计算"
"MedsciItem","内分泌/代谢系统","Ideal Body Weight ","理想体重"
"MedsciItem","内分泌/代谢系统","LDL Calculated ","低密度脂蛋白计算 "
"MedsciItem","内分泌/代谢系统","Maintenance Fluids Calculations ","维持液体计算"
"MedsciItem","内分泌/代谢系统","MDRD GFR Equation ","MDRD肌酐清除率计算公式"
"MedsciItem","内分泌/代谢系统","Serum Osmolality/Osmolarity ","血清渗透压"
"MedsciItem","内分泌/代谢系统","Sodium Correction for Hyperglycemia ","高血糖时钠浓度校正公式"
"MedsciItem","内分泌/代谢系统","Sodium Deficit in Hyponatremia ","低钠血症的钠缺乏量计算"
"MedsciItem","内分泌/代谢系统","Stool Osmolar/Osmotic Gap ","粪便渗透压差"
"MedsciItem","内分泌/代谢系统","Transtubular Potassium Gradient (TTKG) ","肾小管钾浓度梯度计算"
"MedsciItem","内分泌/代谢系统","Winters'Formula for Metabolic Acidosis Compensation ","代谢性酸中毒代偿的Winters计算公式"
"MedsciItem","内分泌/代谢系统","Activity of Daily Living Scale，ADL","日常生活能力量表(ADL)(Barthel指数)"
"MedsciItem","心脏系统","A-a O2 Gradient ","肺泡－动脉氧分压差"
"MedsciItem","心脏系统","CHA2DS2-VASc Score for Atrial Fibrillation Stroke Risk ","房颤患者卒中预防风险CHA2DS2-VASc评分"
"MedsciItem","心脏系统","CHADS2 Score for Atrial Fibrillation Stroke Risk ","心房纤颤卒中风险的CHADS2评分"
"MedsciItem","心脏系统","Corrected QT Interval (QTc) ","校正QT期间"
"MedsciItem","心脏系统","CURB-65 Severity Score for Community-Acquired Pneumonia ","社区获得性肺炎CURB-65严重程度评分"
"MedsciItem","心脏系统","Framingham Cardiac Risk Score ","Framingham心脏风险评分"
"MedsciItem","心脏系统","Framingham Cardiac Risk Score (SI Units) ","Framingham心脏风险评分（国际单位）"
"MedsciItem","心脏系统","HAS-BLED Score for Major Bleeding Risk ","HAS-BLED出血风险评分"
"MedsciItem","心脏系统","LDL Calculated ","低密度脂蛋白计算 "
"MedsciItem","心脏系统","Light's Criteria for Exudative Effusions ","Light标准诊断渗出液"
"MedsciItem","心脏系统","Maddrey's Discriminant Function for Alcoholic Hepatitis ","酒精性肝炎Maddrey判别函数 "
"MedsciItem","心脏系统","Mean Arterial Pressure (MAP) ","平均动脉压"
"MedsciItem","心脏系统","PERC Rule for Pulmonary Embolism ","肺栓塞的PERC判定原则"
"MedsciItem","心脏系统","San Francisco Syncope Rule to Predict Serious Outcomes ","旧金山晕厥严重预后预测评分"
"MedsciItem","心脏系统","TIMI Risk Index ","TIMI风险指数"
"MedsciItem","心脏系统","TIMI Risk Score for STEMI ","ST段抬高心肌梗塞的TIMI危险评分"
"MedsciItem","心脏系统","TIMI Risk Score for UA/NSTEMI ","非ST段抬高心梗TIMI危险评分"
"MedsciItem","心脏系统","Well's Criteria for DVT ","深静脉血栓Well评分"
"MedsciItem","心脏系统","Well's Criteria for Pulmonary Embolism/PE ","肺栓塞Well评分 "
"MedsciItem","心脏系统","Angina Scale(CCS) ","心绞痛分级(CCS)"
"MedsciItem","心脏系统","Cardiac Valve Area(Gorlin) ","心脏瓣膜面积(Gorlin)"
"MedsciItem","心脏系统","Heart Rate(EKG) ","心率(EKG)"
"MedsciItem","心脏系统","Killip Classification ","Killip分级"
"MedsciItem","心脏系统","NYHA Functional Classification ","NYHA心功能分级"
"MedsciItem","心脏系统","Vascular Resistances ","血管阻力"
"MedsciItem","心脏系统","GRACE ACS Risk and Mortality Calculator ","GRACE缺血风险评估"
"MedsciItem","心脏系统","CRUSADE Bleeding Score ","CRUSADE出血风险评估"
