检查项目 | 英文名 | 别名 | 分类 

白细胞数 | White Blood Cell count | WBC | 临床血液检查
异形嗜中性粒细胞 | White Blood Cell count |   | 临床血液检查
α2-纤溶酶抑制抗原 | Tissue Plasminogen Activator Antigen | α2-PI∶Ag | 临床血液检查
脑脊液天门冬氨酸氨基转移酶 | aspartate aminotaransferase | 谷草转氨酶；AST | 体液和排泄物检查
脑脊液溶菌酶 | Lysozyme |   | 体液和排泄物检查
脑脊液胆碱酯酶 | Cholinesterase CSF | CHE | 体液和排泄物检查
脑脊液尿酸 | Uric acid CSF | UA | 体液和排泄物检查
脑脊液β-内啡肽 | eta-endorphin CSF | β-EP | 体液和排泄物检查
脑脊液亮氨酸-脑啡肽 | Leu-enkophalin CSF |   | 体液和排泄物检查
脑脊液强啡肽 | Leu-enkophalin CSF |   | 体液和排泄物检查
脑脊液P物质 | P-substance P，SP |   | 体液和排泄物检查
脑脊液生长素 | Growth Hormone | GH | 体液和排泄物检查
脑脊液生长抑素 | Somatostain | SS | 体液和排泄物检查
体内血小板活化标志物 | Heinrich Patscheke，Andreas Kaf |   | 临床血液检查
脑脊液促甲状腺素 | Heinrich Patscheke，Andreas Kaf | TSH | 体液和排泄物检查
脑脊液精氨酸加压素 | Heinrich Patscheke，Andreas Kaf |   | 体液和排泄物检查
脑脊液神经降压肽 | Heinrich Patscheke，Andreas Kaf |   | 体液和排泄物检查
脑脊液钙调素 | Heinrich Patscheke，Andreas Kaf |   | 体液和排泄物检查
脑脊液降钙素基因相关肽 | Heinrich Patscheke，Andreas Kaf |   | 体液和排泄物检查
脑脊液血管活性肠肽 | Vasoactive intestinal | VIP | 体液和排泄物检查
脑脊液神经肽 | Vasoactive intestinal |   | 体液和排泄物检查
脑脊液心钠素 | Vasoactive intestinal |   | 体液和排泄物检查
脑脊液内皮素 | endothelin | ET | 体液和排泄物检查
脑脊液丙氨酸氨基转移酶 | endothelin | ALT | 体液和排泄物检查
蛋白C | endothelin | PC | 临床血液检查
脑脊液C-反应蛋白 | C-reactive protein |   | 体液和排泄物检查
脑脊液β2-微球蛋白 | C-reactive protein |   | 体液和排泄物检查
脑脊液总胆固醇 | C-reactive protein |   | 体液和排泄物检查
脑脊液胆固醇酯 | Cholesterol ester |   | 体液和排泄物检查
脑脊液载脂蛋白A1，B100，CⅡ，CⅢ，E | Apolipoprotein A1，B100，CⅡ，CⅢ，E |   | 体液和排泄物检查
脑脊液脂质过氧化物 | Lipoproxides | 过氧化脂质；LPO | 体液和排泄物检查
脑脊液丙二醛 | Malonyldialolehyde | MDA | 体液和排泄物检查
脑脊液髓鞘碱性蛋白 | Malonyldialolehyde | MBP | 体液和排泄物检查
脑脊液结合型髓鞘碱性蛋白 | Malonyldialolehyde | BMBP | 体液和排泄物检查
脑脊液结合型髓鞘碱性蛋白抗体 | Malonyldialolehyde | BMBPA | 体液和排泄物检查
蛋白S抗原 | Malonyldialolehyde | PS：Ag | 临床血液检查
