中医百科

Asian toddalia root (bark) - 飞龙掌血
six climatic factors - 六气
five zang viscera - 五脏
visceral manifestations - 脏象
zang-fu viscera - 脏腑
seven emotions - 七情
	traditional Chinese medicine - 中医学
Chinese materia medica - 中药学
integration of traditional and western medicine - 中西医结合
traditional Chinese medicine and pharmacology - 中医药学
illness of child viscera affecting the mother one - 子病及母
illness of mother viscera affecting the child one - 母病及子
wood generating fire - 木生火
fire generating earth - 火生土
earth generating metal - 土生金
metal generating water - 金生水
water generating wood - 水生木
mutual restriction of five phases - 五行相克
over-restriction of five phases - 五行相乘
doctrine of five evolutive phases and six climatic factors - 运气学说
five evolutive phases - 五运
vitamins               - 维生素
velvet deerhorn - 鹿茸
menstrual disorder - 月经失调
acorus [root] - 石菖蒲
anemarrhena [root]              - 知母
white peony [root]             - 白芍
cooked rehmannia [root]             - 熟地黄
rhubarb               - 大黄,锦纹大黄
Chinese angelica              - 当归
ginseng               - 人参
corydalis [root]              - 延胡索
coptis [root]              - 黄连
phellodendron [bark]              - 黄柏
sparganium [root]              - 三棱
trichosanthes root              - 天花粉
department of ophthalmology         - 眼科
Chinese materia medica         - 中药
Chinese materia medica         - 中药学
powder for anesthesia         - 麻沸散
eight tactical arrays         - 八阵
erudite for massage         - 按摩博士
department of obstetric         - 产科
Imperial Medical Service         - 太医局
department of wind         - 风科
moxibustion contraindications          - 灸禁
adaptation array          - 因阵
odd-ingredient prescriptions          - 奇方
stone needle          - 砭石
materia medica          - 本草
seven kinds of prescriptions        - 七方
Yin Shan Zhengyao; Principles of Correct Diet     - 饮膳正要
Wan Mizhai Yixue Quanshu; Wan Mizhai's Complete Medical Book   - 万密斋医学全书
Xu Lingtai Yixue Quanshu; Xu Lingtai's Complete Medical Book   - 徐灵胎医学全书
Meichuang Milu; Secret Record for Syphilis      - 霉疮秘录
Shengji Zonglu; General Records of Holy Universal Relief    - 圣济总录
Xinxiu Bencao; Newly Revised Materia Medica      - 新修本草
Li Yue Pianwen; Rhymed Discourse for Topical Remedies    - 理瀹骈文
Shennong Bencao Jing; Shennong's Classic of Materia Medica    - 神农本草经
Bencao Shiyi; A Supplement to Materia Medica     - 本草拾遗
department of acupuncture and moxibustion       - 针灸科
