medname,text,code,name
软组织细胞学（cytology of soft tissue ),【参考范围】Www~MediX~cn正常细胞学涂片可见：i纤维细胞、i成纤维细胞、i脂肪细胞、i淋巴管内皮细胞、i血管内皮细胞、i血管外皮细胞、i滑膜细胞、i平滑肌细胞和横纹肌细胞。0【影响因素】Www@MediX@cn软组织细胞学检验以细针吸取获取标本时要保证获取病变组织足够的细胞成分，l以防止出现假阴性诊断。0【临床意义】Www_MediX_cn1．良性疾病111结节性筋膜炎、i纤维瘤、i脂肪瘤、i平滑肌瘤、i血管瘤（见大量红细胞和巨噬细胞）、i淋巴管瘤、i隆突性皮肤纤维瘤。0 。2．恶性疾病111纤维肉瘤，l分为分化好的和分化差的两种；脂肪肉瘤、i平滑肌肉瘤、i血管肉瘤、i横纹肌肉瘤、i滑膜肉瘤、i恶性黑色素瘤、i恶性Schwannoma神经鞘瘤等。0,0308,软组织细胞学
"清蛋白（albumin , Alb )",【参考范围】Www~MediX~cn溴甲酚绿（BCG）法：i35～55g/L1。0【影响因素】Www@MediX@cn1．对于脂血、i溶血及严重黄疸标本应作标本空白，l以消除干扰。0 。2.1BCG1不但与清蛋白呈色，l还可与血清中多种蛋白成分发生呈色反应，l其中以α1球蛋白、i转铁蛋白、i触珠蛋白等最为显著，l但其反应速度较清蛋白慢，l因此测定时，l在30s1读取吸光度计算结果，l可明显减少非特异性结合反应。0 。3．青霉素、i水杨酸类药物可与BCG1竞争清蛋白的结合，l对测定结果影响。0【临床意义】Www_MediX_cn1.1血清Alb1增高常见于严重失水，l如严重呕吐、i腹泻、i高热等，l血浆浓缩所致。0迄今为止，l临床尚未发现清蛋白绝对量增高的疾病。0 。2．血清Alb1降低：iAlb1降低的原因与TP1降低的原因相同。0此外，l尚可见于：i①1妊娠尤其是妊娠晚期，l由于体内对蛋白质的需要量增加，l同时又伴有血浆容量增高，l血清Alb1可明显下降，l但分娩后迅速恢复正常，l②1较罕见的先天性清蛋白缺乏症。0,0501,蛋白质与氨基酸及其代谢产物
男性生殖器细胞学( cytology of male genital organs ),【参考范围】Www~MediX~cn男性生殖器细胞学检查一般可见：i精原细胞、i支持细胞、i间质细胞、i附睾细胞、i前列腺细胞、i精囊腺上皮细胞等。0在前列腺液中还可见上皮细胞、i精子、i白细胞、i淀粉样小体等。0【影响因素】Www@MediX@cn1．前列腺按摩法采集标本时要避免精囊腺的液体或精子混入，l以免干扰检查。0 。2．前列腺、i睾丸、i附睾可以用细针穿刺吸取标本，l由于前列腺穿刺的局限性，l炎症明显的患者应抗炎治疗后复查，l以排除假阴性。0 。3．阴茎可刮取其表面渗液涂片，l但当癌肿发生于基底层时表层往往不易发现肿瘤细胞。0【临床意义】Www_MediX_cn1．良性病变111急、i慢性前列腺炎时．上皮细胞和炎性细胞多见；前列腺肥大时，l可见腺上皮细胞等。0 。2．恶性病变111常见有前列腺癌（以腺癌为多见）、i睾丸的恶性肿瘤、i阴茎癌等。0,0305,泌尿系统细胞学
"抗心磷脂抗体（anti-cardiolipin antibody , ACA)",【参考范围】Www~MediX~cnELISA:1P/N≥2.1为阳性。0【影响因素】Www@MediX@cn参见抗核抗体测定中ELISA1法。0【临床意义】Www_MediX_cn11．抗磷脂抗体是一组针对各种带负电荷磷脂的自身抗体，l其中以ACA最为重要。0ACA是以心磷脂为靶抗原的一种自身抗体，l能干扰磷脂依赖性的凝血过程，l抑制内皮细胞释放前列环素，l与凝血系统改变、i血栓形成、i心脑血管缺血性疾病等密切相关。0 。21.1ACA阳性见于SLE1、i类风湿性关节炎、i干燥综合征、i反复自发性流产者、i抗磷脂综合征（包括血栓形成、i自发性流产、i血小板减少、iCNS1病变等）、i肿瘤、iAIDS、i麻风、i疟疾、i血小板减少症、i脑卒中、i心肌梗死等患者。0 。31．从Ig的类型来看，l风湿病以IgG型ACA1为主；在肿瘤、i感染及药物不良反应等情况下，l以IgM1型ACA1为主；脑血栓患者IgG1型ACA1阳性率最高；约70％ACA1阳性孕妇可发生自发性流产和宫内死胎，l尤其是IgM1型ACA1阳性可作为自发性流产的早期指标；ACA1阳性患者血小板减少发生率明显高于阴性者，l以IgG1型ACA1多见，l并与血小板减少程度有关。0,0703,变态反应与自身免疫性疾病检验
"血清免疫球蛋白E (serum immunoglobulin E, IgE)","【参考范围】Www~MediX~cnELISA法：i男0.0003～0.00551g/L；。111111111女0.0003～0.0021g/L。0【影响因素】Www@MediX@cn同IgD。0【临床意义】Www_MediX_cnIgE由呼吸道（鼻咽部、i扁桃体、i支气管）和消化道黏膜固有层的浆细胞产生，l主要分布于这些部位的黏膜组织、i外分泌液及血液内，l以单体形式存在，l血清中IgE1含量极微，l仅占血清总Ig的0.002%，l且水平比较恒定。0IgE1又称为反应素或亲细胞性抗体，l其重链较Υ重链多一个功能区（CH4），l借CH4与细胞结合。0肥大细胞、i皮肤组织、i嗜碱性粒细胞和血管内皮细胞表面表达IgE1的Fc1受体，l因此IgE1极易与上述细胞结合，l成为导致I型超敏反应的主要抗体。0除此之外B1细胞、i部分T1细胞、i巨噬细胞表面亦可表达IgE1的Fc受体，l这在调节IgE1抗体产生和防御感染方面可能起重要作用。0 。IgE1升高主要见于过敏性疾病，l如变应性鼻炎、i支气管哮喘、i特应性结膜炎、i特应性皮炎、i变应性脉管炎、i肉芽肿、i春季结膜炎、i荨麻疹等。0高IgE1综合征/Job综合征IgE也明显升高，l血清中含量可达21000～41OOOU1/ml1(1U=2.4ng)；IgE1型骨髓瘤、i绦虫和蛔虫等寄生虫病、i嗜酸性粒细胞增多症、iSLE、i肝炎、i类风湿性关节炎、i真菌感染等IgE1也升高。0当血清总IgE在0.005g/L1以上时，l应考虑寄生虫感染的可能性。0 。IgE1降低：i原发性无丙种球蛋白血症、i共济失调-毛细血管扩张症、i肿瘤和应用化疗药物的患者。0",0701,体液免疫学检验
平均红细胞血红蛋白浓度（mean corpuscular hemoglobin concentration，MCHC）,"【参考范围】Www~MediX~cn320～360g/L（仪器法）。0【影响因素】Www@MediX@cn由于MCV、iMCH、iMCHC三项平均值是根据RBC、iHGB、iHCT这三项计算出来的，l所以一切影响后三项测定的因素均会影响前三项数值的准确性。0 。 。MCV、iMCH、iMCHC与常见贫血分类：i 。11111111111 。正常细胞性贫血：iMCV（→）、iMCH（→）、iMCHC（→）。大细胞性贫血：iMCV（↑）、iMCH（↑）、iMCHC（↑）。小细胞低色素性贫血：iMCV（→）、iMCH（→）、iMCHC（→）。单纯小细胞性贫血：iMCV（↓）、iMCH（↓）、iMCHC（↓）。 。注：i→无变化1↑增大1↓减低【临床意义】Www_MediX_cn1.增高11 。11巨幼细胞性贫血，l溶血性贫血，l再生障碍性贫血（再障）。0 。2.降低11 。11缺铁性贫血，l铁粒幼细胞性贫血，l珠蛋白生成障碍性贫血。0",0101,一般检验
平均红细胞血红蛋白含量（mean corpuscular hemoglobin，MCH）,【参考范围】Www~MediX~cn27～31pg（仪器法）。0【影响因素】Www@MediX@cn无【临床意义】Www_MediX_cn1.增高1 。11巨幼细胞性贫血，l溶血性贫血，l再生障碍性贫血（再障）。0 。2.降低1 。11缺铁性贫血，l铁粒幼细胞性贫血，l珠蛋白生成障碍性贫血。0,0101,一般检验
"疟原虫检查（malauial parasites,MP）","【参考范围】Www~MediX~cn薄血膜或厚血膜检查法：i阴性。11血清血检查：i抗疟抗体一般在感染后2～3周出现，l4～8周达高峰，l以后逐渐下降。0现已应用的有间接免疫荧光、i间接血凝与酶联免疫吸附试验等，l阳性率可达90%。0【影响因素】Www@MediX@cn1.用油镜检查疟原虫，l若未检出疟原虫时，l镜检视野不少于200个。0 。2.应在患者发热前后采血为宜。0间日疟或三日疟在发作数小时至10h内采血较好，l恶性疟则在发作开始时就采血为好。0 。3.一次阴性不能排除，l对高度可疑患者应多次复查，l以免漏诊。0【临床意义】Www_MediX_cn1.查出疟原虫病原体即可确诊疟疾。0 。2.红细胞和血红蛋白在多次发作后下降，l恶性疟尤重；白细胞总数初发时可稍增，l后正常或稍低，l白细胞分类单核细胞常增多，l并见吞噬有虐色素颗粒。0",0101,一般检验
"红斑狼疮细胞（Iupus erythematosus cell,LEc）",【参考范围】Www~MediX~cn阴性（脱纤维法、i血块法）。0【影响因素】Www@MediX@cn1.取血后应立即检查，l不能搁置过久。0 。2.孵育时间为2h，l若时间过短则阳性率低，l时间过长则细胞易退变，l不好识别。0 。3.注意与血片中其他吞噬现象区别，l中性粒细胞或单核细胞吞噬衰老退变的细胞核时，l不能误认为LE细胞。0 。4.应尽可能在用激素治疗前采血送检。0 。5.服用某些药物如肼苯哒嗪、i盐酸普鲁卡因酰胺、i甲基多巴等可造成假阳性。0【临床意义】Www_MediX_cn1.未经治疗的系统性红斑狼疮患者LE细胞阳性率多为70%～90%，l其活动期较缓解期阳性率高。0 。2.其他自身免疫性疾病如类风湿性关节炎、i硬皮病、i结节性动脉炎、i活动性肝炎、i白血病、i恶性贫血等也可偶见LE细胞。0 。3.未找到狼疮细胞，l并不能否定红斑性狼疮的诊断，l应进一步做其他有关免疫学检查。0,0101,一般检验
"红细胞沉降率(erythrocyte sedimentation rate,ESR)","【参考范围】Www~MediX~cn男：i0～15mm/h，l魏氏（Westergren）法；5～10mm/h，l潘氏（ΠaHYekoB）法；0～8mm/h，l克氏（Calter）法；0～8mm/h，l温氏(Wintrobe)法。0 。女：i0～20mm/h，l魏氏（Westergren）法；6～12mm/h，l潘氏（ΠaHYekoB）法；0～10mm/h，l克氏（Calter）法；0～15mm/h，l温氏(Wintrobe)法。0 。血沉仪法正常值同魏氏法。0【影响因素】Www@MediX@cn1.采用枸橼酸盐抗凝，l抗凝剂与血液比例为1∶4，l严格防止凝血并于采血后2h内检测完毕。0 。2.estetren法及血沉仪法最适温度为18～25℃，l夏天温度高血沉增快应进行温度校正后报告。0 。3.血沉管必须干燥且内径符合要求，l一定要垂直放置。0【临床意义】Www_MediX_cn1.生理变化。（1）新生儿因纤维蛋白原低血沉减慢，l12岁以下的儿童血沉可略快。0 。（2）妇女月经期和妊娠3个月后血沉可加快。0 。（3）老年人因纤维蛋白原的增高血沉可加快，l可达30mm/h。0 。12.病理变化。（1）增快。1①急性细菌性炎症常见于感染2～3d见血沉增快。0 。1②组织损伤如大手术创伤可致血沉增快，l无并发症时多于2～3周恢复正常。0 。1③用于观察结核病、i结缔组织病及风湿病的病情变化和疗效。0血沉加快，l表示病症复发和活动，l当病情好转或静止时血沉逐步恢复正常。0 。1④某些疾病的鉴别诊断：i如心肌梗死（常于发病1周见血沉增快，l并持续2～3周）和心绞痛、i胃癌和胃溃疡，l盆腔炎性包块和无并发症的卵巢囊肿等的鉴别。0前者血沉明显增快，l后者正常或略有增快。0但应注意不少疾病可继发红细胞形态改变，l从而掩盖了原发性疾病血沉增快本质。0如胃癌患者常合并营养不良性贫血有时血沉增快并不明显。0 。1⑤增长迅速的恶性肿瘤血沉增快，l而良性者血沉多正常。0恶性肿瘤手术切除或治疗较彻底时血沉可趋于正常，l复发或转移时又见增快。0 。1⑥各种原因所致的高球蛋白血症均可见血沉增快，l如多发性骨髓瘤患者，l血浆中出现大量异常免疫球蛋白，l血沉明显增快，l为重要诊断指标之一。0系统性红斑狼疮、i巨球蛋白血症、i亚急性感染性心内膜炎、i黑热病、i肝硬化、i慢性肾炎等也见血沉增快。0 。1⑦贫血（HGB＜90g/L）时因红细胞数量稀少，l下沉摩擦阻力减少而致血沉增快。0 。1⑧高胆固醇血症时血沉亦可增快。0 。1⑨健康查体：i血沉测定虽无特异性，l但与体温、i血压、i白细胞计数一样可以了解机体健康状况的一般信息，l血沉增高往往暗示疾病存在，l可以提示临床注意。0 。（2）减慢：i见于红细胞明显增多及纤维蛋白原含量减低时，l如真性红细胞增多症、iDIC晚期。0",0101,一般检验
