medname,text,code,name
清暑益气丸,【处方组成】Www~MediX~cn人参，l黄芪（蜜炙），l白术（麸炒），l苍术（米泔炙），l麦冬，l泽泻，l五味子（醋炙），l当归，l黄柏，l葛根，l青皮（醋炙），l陈皮，l六神曲（麸炒），l升麻，l甘草。0【规格剂型】Www~MediX~cn丸剂：i每丸重9g。0【用法用量】Www@MediX@cn姜汤或温开水送服：i1丸/次，l2次/d。0【功能主治】医用.计算祛暑利湿，l补气生津。0用于体弱受暑引起头晕身热，l四肢倦怠，l自汗心烦，l咽干口渴。0【注意事项】Www_MediX_cn①孕妇慎服；②服药期间，l忌食辛辣油腻之品。0,0505,清暑益气
骨痨敌注射液,【处方组成】Www~MediX~cn三七，l黄芪，l骨碎补，l乳香（制），l没药（制）。0【规格剂型】Www~MediX~cn注射剂：i每支2ml。0【用法用量】Www@MediX@cn肌内注射：i2-4ml/次，l1-2/次。0【功能主治】医用.计算益气养血，l补肾壮骨，l活血化瘀。0用于肾气不足、i气虚血瘀所致骨关节结核、i淋巴结核、i肺结核等各种结核病以及瘤型麻风病者。0【注意事项】Www_MediX_cn①骨痨见骨蒸潮热，l低烧不退者配合滋阴凉血除蒸药同用；②孕妇忌服，l月经期停用；③饮食宜清淡，l忌食生冷油腻及不易消化食物。0,2705,健骨抗痨
葛根芩连丸（微丸）,【处方组成】Www~MediX~cn葛根，l黄芩，l黄连，l炙甘草。0【规格剂型】Www~MediX~cn丸剂：i每袋装1g。0【用法用量】Www@MediX@cn口服：i3g/次，l3次/d；小儿1g/次，l3次/d；或遵医嘱。0【功能主治】医用.计算解肌透表，l清热解毒，l利湿止泻。0用于湿热蕴结所致的泄泻腹痛，l便黄而黏，l肛门灼热；及风热感冒所致的发热恶风，l头痛身痛。0【注意事项】Www_MediX_cn①脾胃虚寒腹泻者，l慢性虚寒性痢疾者忌用；②忌食辛辣油腻食物；③本品苦寒，l易伤胃气，l不可过服、i久服。0,0601,解表清里
风寒双离拐片,【处方组成】Www~MediX~cn地枫皮，l红花，l千年健，l制川乌，l防风，l制草乌，l乳香（制），l制马钱子，l木耳，l没药（制）。0【规格剂型】Www~MediX~cn片剂：i每片重0.31g。0【用法用量】Www@MediX@cn黄酒送服：i8片/次，l2次/d，l或遵医嘱。0【功能主治】医用.计算祛风散寒，l活血通络。0用于风寒闭阻、i瘀血阻络型痹证，l症见腰腿疼痛、i冷痛或刺痛，l四肢麻木、i筋骨拘挛等。0【注意事项】Www_MediX_cn①属风湿热痹者不宜用；②孕妇忌用；③本品含川乌、i草乌有毒，l不可多服；④忌食生冷；⑤高血压、i心脏病、i肝肾功能不全、i癫痫、i破伤风、i甲亢病人忌用。0,0901,祛寒通痹
补肾固齿丸,【处方组成】Www~MediX~cn熟地黄，l地黄，l鸡血藤，l紫河车，l骨碎补（盐水炙），l漏芦，l丹参（酒炙），l五味子（酒炙），l山药，l郁金（醋炙），l炙黄芪，l牛膝，l野菊花，l茯苓，l枸杞子，l牡丹皮，l泽泻（盐水炙），l肉桂。0【规格剂型】Www~MediX~cn丸剂：i每30丸重1g。0【用法用量】Www@MediX@cn口服：i4g/次，l2次/d。0【功能主治】医用.计算补肾固齿，l活血解毒。0用于肾虚火旺所致的牙齿酸软，l咀嚼无力，l松动移位，l牙龈出血，l慢性牙周炎见上述证候者。0【注意事项】Www_MediX_cn①凡实热症牙宣者慎用；②配合口腔局部用药，l促进炎症消退；③因牙齿松动，l不要吃过硬食品。0,2603,滋阴清热
祛痹舒肩丸,"【处方组成】Www~MediX~cn桂枝,1羌活,1威灵仙,1秦艽,1地龙,1黄芪,1黄精,1当归,1淫羊藿,1巴戟天,1骨碎补,1三七,1延胡索(醋制),1夏天无。0【规格剂型】Www~MediX~cn丸剂：i浓缩丸，l每瓶装30g。0【用法用量】Www@MediX@cn口服：i7.5g/次，l2次/d，l饭后服。0疗程4周。0或遵医嘱。0【功能主治】医用.计算祛风湿，l强筋骨，l益气血，l止痹痛。0用于风寒湿闭阻、i气血不足、i肝肾亏虚所致的肩痹，l症见肩部疼痛，l日轻夜重，l局部怕冷，l遇热痛缓，l肩部肌肉萎缩；肩周炎见上述证候者。0【注意事项】Www_MediX_cn①属风湿热痹，l红肿热痛者忌用；②忌食生冷；③孕妇慎用。0",0901,祛寒通痹
木瓜丸,【处方组成】Www~MediX~cn木瓜，l当归，l川芎，l白芷，l威灵仙，l狗脊（制），l牛膝，l鸡血藤，l海风藤，l人参，l制川乌，l制草乌。0【规格剂型】Www~MediX~cn丸剂【用法用量】Www@MediX@cn口服：i30丸/次，l2次/d。0【功能主治】医用.计算祛风散寒，l除湿通络。0用于风寒湿闭阻所致的痹病，l症见关节疼痛、i肿胀、i屈伸不利、i局部畏恶风寒、i肢体麻木、i腰膝酸软。0【注意事项】Www_MediX_cn①属风湿热痹者忌用；②孕妇忌用；③本品含川乌、i草乌有毒，l不可多服。0,0901,祛寒通痹
马钱子散,【处方组成】Www~MediX~cn马钱子（沙烫）适量（含士的宁8.0g1），l地龙（去土焙黄）【规格剂型】Www~MediX~cn散剂：i每袋装0.6g。0【用法用量】Www@MediX@cn每晚用黄酒或开水送服：i0.2g/次，l如无反应，l可增至0.4g，l最大服量不超过0.6g。0老幼及体弱者酌减。0【功能主治】医用.计算祛风湿，l通经络。0用于风湿闭阻所致的痹病，l症见关节疼痛，l臂痛腰痛，l肢体肌肉萎缩。0【注意事项】Www_MediX_cn①本品适用于风湿痹病重症，l其轻症者慎用；②12岁以下儿童及身体虚弱者、i孕妇、i心脏病、i严重气管炎、i高血压、i心脏病、i肝肾功能不全、i癫痫、i破伤风、i甲亢病人忌用；③本品含马钱子有毒，l不可多服；④忌食生冷食物。0,0901,祛寒通痹
金钱白花蛇药酒,【处方组成】Www~MediX~cn白花蛇，l乌梢蛇，l马钱子（制），l五加皮，l老鹳草，l豨莶草，l千年健，l地枫皮，l陈皮，l红花，l肉桂，l杜仲，l川牛膝，l甘草。0【规格剂型】Www~MediX~cn酒剂【用法用量】Www@MediX@cn口服：i4-6ml/次，l3次/日。0【功能主治】医用.计算祛风除湿，l散寒止疼，l活血通络，l舒筋强骨。0用于由风、i寒、i湿邪引起的痹证、i痿证。0症见四肢无力、i关节疼痛、i腰膝酸软、i手足麻木、i屈伸不利等。0【注意事项】Www_MediX_cn①阴虚火旺及热痹者慎用；②孕妇忌服；③忌食生冷；④高血压、i心脏病、i肝肾功能不全、i癫痫、i破伤风、i甲亢病人忌用；⑤本品含马钱子有毒，l不可多服。0,0901,祛寒通痹
虎力散（胶囊）,【处方组成】Www~MediX~cn制草乌，l三七，l断节参，l白云参。0【规格剂型】Www~MediX~cn①散剂：i每瓶装0.9g；②胶囊剂：i每粒装0.3g。0【用法用量】Www@MediX@cn①口服：i0.3g/次，l1-2次/d，l开水或温酒送服；②外用：i散剂，l撒于伤口处；胶囊剂，l将内容物撒于伤口处。0【功能主治】医用.计算驱风散寒，l活血通络。0用于由风、i寒、i湿邪引起的痹证。0症见关节疼痛、i冷痛、i刺痛或疼痛夜甚、i手足麻木、i屈伸不利等。0亦可用于跌打损伤见瘀血阻络者。0【注意事项】Www_MediX_cn①属风湿热痹者忌用；②孕妇忌用；③本品含草乌有毒，l不可多服。0,0901,祛寒通痹
