medname,text,code,name
利多卡因,【妊娠危险分级】B【妊娠】可用B【哺乳】慎用【详细叙述】可通过胎盘，l动物实验对胎仔无副作用，l人体研究无致畸性。0有报道母亲用药后导致胎儿心动过缓或过速、i酸血症、i呼吸困难，l通常仅原有心率缓慢的胎儿才出现致死性心动过缓。0本药甚至可引起新生儿高铁血红蛋白血症，l孕妇用药须权衡利弊。0对哺乳影响在人体研究尚不充分。0,0305,抗心律失常药
恩卡尼,【妊娠危险分级】【妊娠】慎用【哺乳】慎用【详细叙述】动物实验显示对胎仔无副反应，l对妊娠和哺乳的影响在人体研究尚不充分。0,0305,抗心律失常药
氨酪酸,【妊娠危险分级】【妊娠】慎用【哺乳】慎用【详细叙述】本品对胎儿的安全性尚未确立。0动物实验有胎儿重量减少，l出生胎仔数减少的报道。0动物实验提示(大自鼠)示本药可被排泌到乳汁中，l哺乳期避免服用。0,0208,中枢兴奋药
士的宁,【妊娠危险分级】【妊娠】慎用【哺乳】禁用【详细叙述】分娩前给药，l新生儿可出现多动、i神经过敏、i不眠及震颤等症状。0分娩时给药，l可引起新生儿的呼吸抑制。0哺乳期避免服用本药。0,0208,中枢兴奋药
多沙普仑,【妊娠危险分级】B【妊娠】慎用【哺乳】慎用【详细叙述】本品对胎儿的安全性尚未确立。0只有在对患者治疗的有益性大于危险性时，l才考虑给药。0,0208,中枢兴奋药
贝美格,【妊娠危险分级】【妊娠】禁用【哺乳】禁用【详细叙述】流行病学的调查报告显示，l妊娠初期服用本品，l畸形儿的出生比例较高，l包括心室室间隔缺损、i多指症、i唇裂及特殊面容等。0妊娠期给药，l新生儿可有呼吸障碍、i肝损害等表现。0另外，l可出现低血糖、i神经过敏、i过度紧张及呕吐等。0动物实验显示本品有阻碍叶酸代谢的作用。0本药可被排泌到乳汁中，l哺乳期避免给药。0,0208,中枢兴奋药
戊四氮,【妊娠危险分级】【妊娠】禁用【哺乳】禁用【详细叙述】妊娠期禁用本药。0流行病学的调查报告显示，l妊娠期单独服用本品或与其他抗癫痫药联用，l畸形儿的出生比例较高，l包括心室室间隔缺损、i唇腭裂等。0,0208,中枢兴奋药
稀化粘素,【妊娠危险分级】【妊娠】慎用【哺乳】慎用【详细叙述】孕妇应慎用，l本药对哺乳的影响尚不明确。0,0401,祛痰药
厄多司坦,【妊娠危险分级】【妊娠】禁用【哺乳】禁用【详细叙述】孕妇及哺乳期妇女应避免使用本药。0,0401,祛痰药
羧甲司坦,【妊娠危险分级】【妊娠】慎用【哺乳】慎用【详细叙述】孕妇及哺乳期妇女应慎用。0,0401,祛痰药
复合维生素B,【妊娠危险分级】【妊娠】慎用【哺乳】慎用【详细叙述】孕妇接受大量维生素B6，l可致新生儿产生维生素B6依赖综合征；妊娠初期过量服用烟酰胺有致畸的可能。0哺乳期妇女摄入正常需要量对婴儿无不良影响。0,1201,维生素类
维生素B12,【妊娠危险分级】C【妊娠】慎用【哺乳】慎用【详细叙述】对妊娠及哺乳的影响尚不明确，l应慎用。0,1201,维生素类
泛酸,【妊娠危险分级】A；C-超过每日推荐摄入量【妊娠】可用A【哺乳】可用【详细叙述】泛酸能进入乳汁。0美国RDA标准中建议孕妇每日所需泛酸10mg；乳母若不存在营养不良，l不需额外补充泛酸。0,1201,维生素类
维生素B6,【妊娠危险分级】A【妊娠】可用A【哺乳】可用【详细叙述】可在妊娠早期呕吐时服用，l但不可过量长久服用。0孕妇接受大量维生素B6，l可致新生儿维生素B6依赖综合征。0乳母摄人正常需要量对婴儿无不良影响。0,1201,维生素类
咖啡因,【妊娠危险分级】B【妊娠】慎用【哺乳】慎用【详细叙述】本品有收缩子宫和胎盘及脐带中血管的作用，l妊娠期不宜使用。0本药可被排泌到乳汁中，l哺乳期避免服用。0,0208,中枢兴奋药
维生素K1,【妊娠危险分级】C【妊娠】慎用【哺乳】慎用【详细叙述】美国RDA标准中建议孕妇每日需维生素K1145μg(100nmol)；给乳母补充维生素K有可能提高乳汁中维生素K含量，l美国儿科学会认为乳母应用本品可继续哺乳。0,1201,维生素类
鱼肝油,【妊娠危险分级】【妊娠】慎用【哺乳】慎用【详细叙述】维生素A过量可致胎儿畸形、i如泌尿刀畸形、i生长迟缓、i骨骺愈合过早等；维生素D过量可致胎儿瓣膜上主动脉狭窄、i脉管受损、i甲状旁腺功能抑制而使新生儿长期低血钙抽搐。0维生素A可从乳汁分泌，l当哺乳期妇女摄入量增加时，l应注意婴儿自母乳中摄取的维生素A量；维生素D对哺乳的影响尚不明确。0,1201,维生素类
愈创甘油醚,【妊娠危险分级】C【妊娠】慎用【哺乳】慎用【详细叙述】孕妇及哺乳期妇女慎用。0,0401,祛痰药
比索洛尔,【妊娠危险分级】C；D-中晚期应用【妊娠】禁用【哺乳】禁用【详细叙述】孕妇、i哺乳期妇女禁用本品。0,0301,抗心绞痛药
索他洛尔,【妊娠危险分级】B；D-中晚期禁用【妊娠】可用B；中晚期禁用【哺乳】慎用【详细叙述】生殖研究分别给予大鼠和兔人类最大推荐剂量的100倍和22倍的本药，l未见胎儿受损的迹象。0但对动物生殖的研究并不总能预测人类的反应。0尽管未对孕妇进行充分有效的研究，l但已证实本药能通过胎盘，l并在羊水中存在。0因此在孕期只有当潜在的利大于弊时才能使用本品。0本品在实验动物乳汁中有分泌，l据报道在人乳中也有。0所以应考虑本品对哺乳期婴儿所具有的潜在不良反应和药物对母亲的重要性以权衡是停止授乳还是停用药物。0,0301,抗心绞痛药
维拉帕米,【妊娠危险分级】C【妊娠】慎用【哺乳】可用【详细叙述】动物实验未见本药引起任何胚胎损害，l但是大剂量应用可延缓胎儿的生长。0本药可通过胎盘。0没有足够的人体研究数据，l也没有引起先天性异常的报道，l但是当本药与地高辛联用时，l有致胎儿死亡的报道。0在快速的静脉注射之后能引起母亲低血压和胎儿缺氧。0妊娠期间慎用。0本品分泌至乳汁量低，l未见婴儿有不良反应，l可应用。0,0301,抗心绞痛药
硝苯地平,【妊娠危险分级】C【妊娠】慎用【哺乳】慎用【详细叙述】动物实验显示大剂量应用本药动物有致畸和胎毒性，l尽管没有足够的人体研究数据，l但妊娠前3个月应用可能致胎儿心血管缺陷，l妊娠中后期应用可能延缓胎儿生长。0可泌至乳汁，l临床研究尚不充分，l哺乳期妇女应用需慎用。0,0301,抗心绞痛药
硝酸异山梨酯,【妊娠危险分级】C【妊娠】慎用【哺乳】慎用【详细叙述】动物实验未见本药引起任何胚胎损害，l但是怀孕或哺乳期妇女仍应慎用。0,0301,抗心绞痛药
地尔硫卓,【妊娠危险分级】C【妊娠】慎用；注射剂禁用【哺乳】禁用【详细叙述】孕妇及计划怀孕者不宜使用本品(动物实验具致畸性)。0本品无充分理由建议孕妇终止妊娠，l仅是应采取严肃监测。0本品可少量分泌入乳汁故哺乳妇女应避免用。0,0301,抗心绞痛药
他克林,【妊娠危险分级】C【妊娠】禁用【哺乳】禁用【详细叙述】禁止用于孕妇(缺乏资料)及哺乳期妇女(缺乏资料)。0,0209,影响脑血管药
氨氯地平,【妊娠危险分级】C【妊娠】慎用【哺乳】慎用【详细叙述】本药用于妊娠和哺乳期妇女的安全性尚未明确，l故妊娠和哺乳期妇女慎用。0,0301,抗心绞痛药
卡巴拉汀,【妊娠危险分级】B【妊娠】可用B【哺乳】慎用【详细叙述】动物实验表明，l重酒石酸卡巴拉汀无致畸作用。0妊娠时服用本品的安全性至今不明确。0只有当对胎儿的益处超过危害时才能应用于妊娠妇女。0本品能否从人乳汁中分泌目前尚不清楚，l服用本品的患者应停止哺乳或慎用。0,0209,影响脑血管药
维生素E,【妊娠危险分级】A；C-超过每日推荐摄入量【妊娠】可用A【哺乳】可用【详细叙述】本药可部分通过胎盘，l新生儿仅能获得母亲血药浓度的20％～30％。0本药能分泌入乳汁。0美国RDA标准中建议孕妇每日应摄入维生素E115IU(相当于10mg)；美国RDA标准中建议哺乳期妇女每日应摄入维生素E120mg。0,1201,维生素类
单唾液酸四己糖神经节苷脂(GM-1),【妊娠危险分级】【妊娠】酌用【哺乳】酌用【详细叙述】各种动物进行的实验显示在妊娠期和哺乳期使用本品无任何不良反应。0,0209,影响脑血管药
尼麦角林,【妊娠危险分级】【妊娠】慎用【哺乳】慎用【详细叙述】孕妇一般不宜服用，l必需时应权衡利弊。0,0209,影响脑血管药
曲美他嗪,【妊娠危险分级】【妊娠】慎用【哺乳】慎用【详细叙述】动物研究尚未显示致畸作用，l然而，l由于缺乏临床资料，l致畸危险不能完全排除。0因此，l为安全起见，l妊娠期间应避免给药。0由于缺乏乳汁内是否分泌的资料，l治疗期间建议不要母乳喂养。0,0301,抗心绞痛药
