response_number,author,title,other_posts,click_number,first_post,response_time
0,memerybluesky,体检中心体检管理存在哪些问题(转载),,53,"为了让体检中心的发展与时俱进，为体检中心建立了信息化系统，但随着时间的发展及业务的扩大，现有软件功能已不能很好地满足体检者和体检中心的需求。体检中心要求改善全套的医院体检管理信息系统，以加速体检中心的信息化建设，提高体检中心内部工作效率和对外的整体服务形象，从而全面提升体检中心的社会效益和经济效益。　　体检中心体检管理可能存在的问题　　1、由于没有数字化网络化管理，各体检科室相对分散，甄别替代体检人员十分困难，不能保证体检质量，很难杜绝代检、漏检、多检的情况发生　　2、体检中综述、建议全部手工书写，由于个人书写方式不同，造成很多综述、建议不够全面，而且工作量太大　　3、在特定的时间段里检查人群相对集中，工作量大，半手工操作，效率较低且易发生差错，而且在登记台及其他检查科室容易造成排长队等候的现象　　4、医院体检流程全部手工完成，容易整理数据工作量大，而且容易丢失。　　5、化验过程中采用手工标记采样标本，检验采样容易出现差错　　6、各辅助科室检查（B超、X光等）只有简单的问价结果，没有第一手的图文资料，总检医生综合诊断资料非常繁琐　　7、体检项目、体检套餐不规范，需要多名人员反复的人工收集、分类、整理等过程，而总检医生必须等体检全部结束后才可进行综合诊断、工作效率低、负担重　　8、体检管理效率低下，无法针对性的对受检者进行个性化服务，不能及时的给客户提供详细、直观的图文体检报告　　9、体检结果不能充分利用体检原始资料进行各种统计学和数据分析，缺少对单位体检结果的综合分析，主观分析的结果与实际情况有偏差，造成资源浪费　　10、对受检者既往病史缺少了解。有一定的盲目性　　11、集中录入工作繁琐，加大医生工作量　　12、体检软件的使用可以很大程度上提高体检的效率及体检流程的管理，减少成本的投入　　13、能够生成一份整洁、美观的体检报告，提升医院体检中心的形象　　14、没有全院的信息化建设经验，无法实现全院的信息共享　　15、健康档案的科普知识和建议知识不够丰富和全面　　杏林七贤体检系统是一套完整的信息化健康体检中心管理软件, 是通过软件实现提取相关检测仪器数据将体检检查结果登记到计算机系统中，通过软件系统进行数据分析统计与评判，建立体检相关的体检档案。从而实现体检流程的信息化，提高工作效率，实现了体检业务市场开拓、预约登记、收费、临床检查、总检等各个工作岗位的电脑化，减少手动结果录入的一些常犯错误，减轻了体检医生工作的压力，协助体检机构更好的服务体检者。",11-16 13:47
3,kav999,入职体检 红细胞和隐血出问题。帮忙看下,"回复:
造成隐血的原因有很多种，包括吃鸭血等。楼主三个加算比较严重的隐血，建议戒荤三天再复查。另外不可小视红细胞，建设做泌尿系统全面检查

回复:
尿隐血的原因挺多，如泌尿系统疾病，肾炎，膀胱炎（瘤），胡桃夹现象等，都是不可轻忽的疾控，楼主还是做个全面详细的检查，确查病因，早点治疗

",1218,sg        比重             1.025　　Ph        酸碱度           5.5　　glu       尿葡萄糖         -　　ket       尿胴体           -　　bil       尿胆红素         -　　ubg       尿胆元           +-　　pro       尿蛋白           -　　nit       亚硝酸盐         -　　leu       尿白细胞         -　　ery       红细胞（隐血）   +++　　rbc(j)    镜检红细胞       1-3　　spc       镜检白细胞       0　　　　男  25周岁  入职体检结果尿检出问题。腰和其他地方都没有疼痛史。 但是单位觉得是身体有问题。自己去另一家医院复查过。结果差不多。 各位专家帮忙看下 现在该怎么办？怎么通过单位的复查。 有人建议说　　1检前多喝水 多排便 降低浓度。 　　2尿检时混入纯净水。　　不知道这2个方法可行不。 复查机会只有一次啊 我郁闷。,12-08 08:07
4,wawahaha123,请问杭州医院入职体检，非常急，谢过先,"回复:
听说有种叫“乙肝体检作弊药”的东东，好象是去年还是前年在电视上看到的

回复:
你应该到天涯城市里面去问啊

",2383,请问杭州有哪些医院可以做入职体检，又有乙肝三系这一项的呢（听说杭州现在入职体检不能做乙肝三系了）？　　　　单位在异地，报道要体检表，而且要查那一项　　　　无奈我又是小三阳，所以希望是体检不是很严格，可以作弊的那种，我知道体检不对，不过到处受歧视，无奈啊，大家别光bs我啊　　　　顺便告诉我吧，急啊,12-08 01:04
5,大小多多,红细胞和尿酸偏高的问题,"回复:
你的尿酸较高可能与痛风有关。　　痛风目前没有有效的根治措施，除药物治疗外，适当的限制饮食，这些最好去医院咨询医生.

回复:
连续吃素三个月,禁酒,空腹再查,如果尿酸还高就是高尿酸证了,可引起通风.要吃药降尿酸.注意的话就没事,不注意的话就有很大的事.

回复:
血小板宽度不正常有没有大碍啊

回复:
是尿红细胞高吧？　　这种情况多见于肾功能受损，使代谢产物尿酸无法排出，肾功衰并肾炎。

",1301,各位想请教一下，红细胞高和尿酸高（正常是416，现在是665），请问身体哪方面出了问题！,11-11 15:01
10,cmsmax,请高人看看这样能排除不是糖尿病了吗？,"回复:
没人知道吗？？？？？？

回复:
基本排除糖尿病。

回复:
那这个75克葡萄糖是不是可以不做了？

回复:
没有做的必要。

回复:
嗯，多谢了。

回复:
你多虑了！

回复:
武汉的彭统涛或许能帮到你，还有，相信中国传统文化！

回复:
我空腹478喝完糖水1小时12点多2小时10点多，营养师说我有妊娠糖尿病，让我控制饮食，控制体重，老娘现在6个月比怀孕3个月时还轻，希望宝宝没事！

回复:
怀孕五个月了，今早刚好查了空腹血糖，还复查了甲肝，又抽了四管静脉血，老公说一个月都补不回来，还好结果一切正常了

回复:
糖尿病前期发现有遗传因素，口干大量喝水，肚子饿得快，大量进食吃不饱，明显消瘦。量一量血糖空腹11以上，糖尿病要遵医吃药，降血糖。

",662,怀孕的时候，被诊断为糖耐量异常，产后5个半月单位组织体检，我跟大夫说我妊娠期血糖高，结果在我空腹血糖5.71。尿糖阴性的情况下给我的体检结果是糖尿病。　　因为一直在家带孩子，因此这个周五也就是产后8个多月的时候才拿到体检报告，把我吓了个半死，当天做了检查，空腹血糖5.1，糖化血红蛋白5.1，尿糖阴性。　　大夫说再做个75克的葡萄糖，可是怀孕的时候真是喝糖水喝怕了，真不想做，因此想请高人给看看，上述三个结果，能不能完全排除是糖尿病了？,11-21 20:53
9,pengan10,求助！！胎儿左肾盂分离12MM，右肾盂分离6mm，医生建议引产！,"回复:
上面所述确为医生原话，我能理解医生出于优生优育角度的分析。但是我和我妻子都不想放弃，希望各位医生帮我看看，我该怎么办！ 　　另外想问下检查结果是不是真的有如医生所说那么严重（生下来也是受罪，要血液透析存活） ！！！

回复:
刚才和老婆商量了下， 想下周去北京再次检查一次，但是不知道哪家医院对这个比较专业，有知道的请帮忙推荐下

回复:
@pengan10 　　家里人没有学医的，不知道孩子明年高考为啥想学医，直接扇了一巴掌，丢人　　啊，现在的医生不是人干的活，不少还被砍死了，为了孩子的安全，也不能学　　医。再说医生的道德沦丧，生病，我现在都不去医院了。

回复:
@wildfire26 3楼 2014-01-12 01:24:00　　@pengan10　　家里人没有学医的，不知道孩子明年高考为啥想学医，直接扇了一巴掌，丢人　　啊，现在的医生不是人干的活，不少还被砍死了，为了孩子的安全，也不能学　　医。再说医生的道德沦丧，生病，我现在都不去医院了。　　-----------------------------　　我不想讳疾忌医~~~

回复:
没人能帮忙分析下这个检查单嘛  ~~~~ 给我点建议吧~~

回复:
@pengan10 你孩子生下了没有。我现在也是这个情况

回复:
孩子生了没有？现在怎么样？

回复:
怎么样了啊？

",4031,以上为今天B超检验结果以及B超图片，手写部分为医生结论以及建议！！！　　我媳妇围保检查第24周时检查出左肾盂分离6mm，当时医生说等一个月看看，是不是憋尿，第31周时去检查发现左肾盂分离9mm，医生建议去一周后省人民医院复查。今天去医院检查后，左肾盂分离12mm右肾盂分离6mm， 看红圈部分，主治医生直接建议终止妊娠！　　孩子已经32周，每天都能感觉到宝宝的特别活跃的胎动，实在想把孩子生下来，现在我和孩子妈妈很迷惘，很伤心，真心想生下来！　　当时给医生说看网上好多都说这样的没什么问题，医生的回答是：你信网上的还是相信专家的！还说，你们这种检查结果，80%到90%的可能就是肾脏有问题，生下来做手术以及透析花的钱就让你受不起，并且孩子还受很大罪！　　我们该 怎么办！ 　　求主各位，帮我看下图片，给我个建议吧！,11-02 21:21
42,完美战神,请问A型血和B型血的家长能生出O型血的孩子吗,"回复:
能

回复:
谢谢

回复:
四种血型的孩子都有可能。

回复:
,kao 　这是不可能，你们别乱说，只有可能是Ａ．Ｂ．ＡＢ．绝对不可能是Ｏ　型．请大家尊重医学

回复:
楼上这位同学，你该复习一下遗传学了，谢谢！

回复:
完全可能,任何血型都是可能的

回复:
概率不高。

回复:
不会吧

回复:
应该是4种都有可能。

回复:
概率是一样大的.四种都 可能

回复:
这个不知道，感觉不能

回复:
Ａ型血和Ｂ型血的人结婚生的孩子可能是４种血型，即Ａ型、Ｂ型、ＡＢ型、Ｏ型，这个我看过专门的报道。说的是一对夫妻分别是Ａ型、Ｂ型血，后来发现他们的孩子是Ｏ型血，男的就开始怀疑孩子不是自己的，并以此为由向法院起诉离婚。后来经过医生的讲解才知道：型血和Ｂ型血的人结婚生的孩子可能是４种血型。这个你可以上网查，或者找医生查，不要造成家庭矛盾。

回复:
四种血型都有可能

回复:
可能的　　基因学原理　　这个东西我高考的时候还专门讲过

回复:
能！天涯医生 E002

回复:
肯定能的。　　不过这里的A型和B型都是携带i基因的杂合子。

回复:
当然能　　因为A型B型都有隐形基因 会出现四种不同的组合A-ai B-bi 　　A中的小a和B中的小i ai就是A型 ab是ab型 bi是B型 ii是O型　　呵呵 高中生物课上经常算这些 还有根据不同的病症算下一代可能出现的情况和几率

回复:
那要看父母的血型是什么样的啊,父母的基因如果都是纯合的呢,那当然是不可能了,他们的孩子只能是AB型.只有当父母的基因全都是杂合的,他们的孩子才有4分之1的概率是O型的

回复:
只能说可能

回复:
再看看他爷爷奶奶外公外婆的血型，可以更详细缩小范围，

回复:
能！

回复:
唐歧音,你是没有读过高中还是没有学过高中的生理啊？

回复:
血型有隐性和显性之分的,如果双方的血型都是隐性基因的话,那么Ａ型、Ｂ型、ＡＢ型、Ｏ型都有可能的.高中生物课不是有讲吗?

回复:
简单的模式如下，其中A、B为显性。O为隐性。　　              父       母　　              AO     BO　　　　　　　　 子或女 AB    AO     OB    OO

回复:
可能，我和我老婆也是一个B、一个A。

回复:
可能的哦

回复:
是的，都有可能，我父母是A型和B型！我们家三弟兄分别是A。B。O！我是O，我还以为医生验错了，他说四种都有可能！

回复:
作者：zhoulan1205  回复日期：2006-7-18 20:31:00  　　　　　　简单的模式如下，其中A、B为显性。O为隐性。　　　　 父 母　　　　 AO BO　　　　　　　　　　　　　　　　 子或女 AB AO OB OO　　　　完全正确，我父母就A和B型，我们姐妹三人分别是B O AB型

回复:
呵呵,唐大夫失误了呀,要尊重科学呀.

回复:
能

回复:
那两个O型，小孩生出来会是什么型呢，会不会一定是O呢？

回复:
两个O就是O了

回复:
能的

回复:
当然能,反过来就不行.

回复:
能

回复:
天道自然  人道科学

回复:
A型和B型的人结合可能生出A型、B型、AB型或O型的小孩。。

回复:
A,B血型是可以生出0型的，其实B型和0型还可以生出A型，因为有的人是AuB型，在血型鉴定的时候，AuB型常常鉴定为B型，根据遗传学，生出来的娃娃可能是Au0，鉴定结果可能就是A型，。。。所以讨论血型与亲子问题是不可靠的，没有必要，完全没有科学依据。

回复:
作者：唐歧音  回复日期：2006-7-4 13:35:00  　　　　　　,kao 　这是不可能，你们别乱说，只有可能是Ａ．Ｂ．ＡＢ．绝对不可能是Ｏ　型．请大家尊重医学　　　　＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿　　这位同学的中学生理卫生都没学好！

回复:
可以，四种都可以，如果夫妻双方的血清型是Ai和Bi的话，        　　                Ai                      Bi　　            A       i              B         i 　　       Ai             AB          Bi             ii         　　其中Ai是A型，Bi是B型，AB是AB型，ii是O型～

回复:
四种血型都可以　　父母的血型必须是杂合子才有四种血型

回复:
@zzh303108aa 2006-07-05 15:20:00　　概率是一样大的.四种都 可能　　-----------------------------　　四种事都有可能，可概率应该不一样吧。

",27937,请问A型血和B型血的家长能生出O型血的孩子吗,02-05 12:32
2,memerybluesky,【体检漫画】常规体检你必须知道的事儿(转载),,74,体检不能瞎检　　知道自己该做什么项目才算是一次真正的体检！,12-10 16:20
10,木乃伊是法老,急 ！谷丙转氨酶偏高！ 好不容易找份工作，明天要体检？ 该怎么办？,"回复:
可以用中药降低谷丙转氨酶偏高，想详细了解加我的Q就可以了

回复:
没事，现在有规定，有乙肝的不能拒绝入职，别说你只是ALT高的，别害怕

回复:
有乙肝需要找人帮助代替的朋友联系联合代检，www.lhtjdj.com，入职福利体检18612186652，球球507171175

",1184,RT。 我现在吃葵花护肝片有用吗？ 求救。,01-09 12:09
8,寂寞的娃儿游,卵泡长不大武汉那边怎样治的?看了几家医院都没什么起色，打算再去送子鸟,"回复:
医生说我可能卵泡排不出来，所以下个月吃促卵的药，开始去医院检测卵泡，前几天去做的造影，说两侧输卵管不是太畅通！如果在不行只能做试管了！烦

",46,卵泡长不大武汉那边怎样治的?看了几家医院都没什么起色，打算再去送子鸟　　11月18日来月经，23日干净，28号（第11天）去测排卵期，B超显示卵泡大小为：13*10，医生说太小，30日再测。请问这个大小正常吗？需要怎么治疗呢，上网查了好像也没差太多。那医生是不是夸张了。想要换个医院在看看,12-25 09:56
